fecha,phi,delta_phi,vix,transicion,sp500_return_1d,sp500_return_7d,sp500_return_30d,tech_sector,other,china_economy,oil_energy,gdp_growth,geopolitical,housing,earnings,banking,europe_economy,japan_economy,trade,financial_crisis,employment,fed_monetary,consumer,inflation
2015-11-10 00:00:00-05:00,462.7345272437573,462.7345272437573,,TRANSICION_ALCISTA_ESTABLE,0.0,0.0,0.0,11.442710831912306,78.30216198798476,92.1157441277202,45.61080971884032,4.330596383842812,85.56384578802457,4.186015719777423,50.1387229167312,5.629570882999779,19.90082353102367,12.632543247493931,16.38259292992121,34.568630365802015,0.5982744768905401,1.3314843347923184,,
2015-11-11 00:00:00-05:00,486.3699855209121,23.635458277154783,,TRANSICION_ALCISTA_ESTABLE,-0.003931840252236227,0.0,0.0,20.353792924479638,80.54239836392813,75.50163224834685,46.11820125658765,3.9184856505121934,74.90062647842404,2.4396767633896776,74.01940569524379,5.093846382423937,16.65902288824906,11.430397815290004,14.82358308744407,48.822797985997816,0.5413411329464508,1.204776847648808,10.0,
2015-11-12 00:00:00-05:00,501.8029808159411,15.432995295029002,,TRANSICION_ALCISTA_ESTABLE,-0.013959620305142487,0.0,0.0,16.888689735098843,82.73037378515072,60.34795005877504,57.56490137873944,2.0174087366945153,81.33232125161925,2.027314013853611,68.25896426378708,3.261115916192624,32.617514997971284,7.886459387076934,23.41293264688441,42.82870757858985,0.4898257130119277,11.09012717213605,9.048374180359595,
2015-11-13 00:00:00-05:00,497.36820073738335,-4.434780078557765,,TRANSICION_BAJISTA_ESTABLE,-0.011228160865685297,0.0,0.0,22.825326154683307,86.75448378200176,64.24468969579658,48.282697581447636,1.8254269124338522,80.59574487622973,1.8343895778434192,52.86650450262621,12.950779705523708,29.513548053513524,7.1359635492481495,29.836910632505052,42.49264577240882,0.44321263344933554,10.03476203612602,5.731115271545873,
2015-11-16 00:00:00-05:00,374.86192884242223,-122.50627189496112,,TRANSICION_BAJISTA_ESTABLE,0.015206354892452848,0.0,0.0,14.523914030433744,75.14727022071426,40.33383393419754,40.31541403309417,11.204776847648809,72.44820064531261,1.3589492230950495,36.84292817567223,7.208670099928356,17.48186025964597,5.286451819403609,15.663035598231097,27.04959492410061,0.32833999449559526,5.422974418460414,4.245714617988433,
2015-11-17 00:00:00-05:00,406.3268151610628,31.464886318640595,,TRANSICION_ALCISTA_ESTABLE,-0.0007290776579236479,0.0,0.0,13.141780871073916,84.56968555272861,35.1475752641588,35.130908248403955,10.138501352495645,90.16189524384914,1.2296281062672976,43.33686000335957,6.522674440692196,35.81824129980351,4.783379414840663,14.172500689308746,23.127498737690132,0.2970943128573355,4.906910170874779,3.841681452658184,
2015-11-18 00:00:00-05:00,398.1750842657392,-8.151730895323624,,TRANSICION_BAJISTA_ESTABLE,0.01586597681560475,0.0,0.0,11.891175071776885,90.3418318367251,29.106867467542685,27.98358116115842,6.717503127312298,73.9734981945019,1.1126135208193482,45.16885183417072,5.901959899605073,51.06169808395151,12.98019378685912,12.823808930826981,20.92662624344145,0.268822050958999,4.4399559295487245,3.476097126539866,
2015-11-19 00:00:00-05:00,421.5188719562825,23.34378769054331,,TRANSICION_ALCISTA_ESTABLE,-0.0008624282845333363,-4.805274685085674e-05,0.0,9.4115932570085,91.65083032511274,56.15678599687196,23.792407623336405,6.078248185365744,98.21742543934732,1.0067343454500772,33.82972390426822,5.340314156910425,41.10995372677227,11.384571412559549,11.243068543207503,16.239220673615783,10.243240250500872,4.017438259486317,1.7973158564688863,
2015-11-20 00:00:00-05:00,447.5488819898453,26.030010033562803,,TRANSICION_ALCISTA_ESTABLE,0.0036444781320488866,0.007557806598451583,0.0,18.515961742276218,92.28996364283925,80.81276124660755,18.652090088481238,5.499826394228097,105.81443423682657,0.7307340962109385,36.445827259673365,4.832116073239712,29.40926927296495,7.844993943152433,8.82516221908553,14.693854505230684,9.268467060585223,2.2871415694808137,11.626278638962397,
2015-11-23 00:00:00-05:00,365.4984193552565,-82.05046263458883,,TRANSICION_BAJISTA_ESTABLE,-0.0011468040289374555,0.020650224849717454,0.0,9.884574405163187,76.18766016373266,55.59005296968586,23.817808191343772,4.074371603430406,74.16019357639087,0.5413411329464508,24.156115268702468,12.31303249207718,31.606725724773174,5.664181784620078,5.254005839281906,29.471255340488288,4.692240322249475,1.6943561479499682,6.390504392420833,
2015-11-24 00:00:00-05:00,392.49392602228994,26.995506667033453,,TRANSICION_ALCISTA_ESTABLE,0.0013391718519809594,0.03362273322462969,0.0,8.94393278315219,86.10667323481447,50.29995999757278,20.203257174779566,2.338656989415337,94.40694429200514,0.4898257130119277,31.85735696951176,11.141292528323993,28.5989480973745,5.125163621281946,4.754021077961694,26.666694588565903,4.245714617988433,11.533116842144404,5.782367494385525,
2015-11-25 00:00:00-05:00,419.8796022859687,27.38567626367876,,TRANSICION_ALCISTA_ESTABLE,-0.00014318298889486538,0.017994746636292823,0.0,8.092805046594599,87.93021872336627,43.05709367228186,25.824470798710074,2.1161043519743243,118.92278278155365,0.44321263344933554,37.477741733391234,7.624866105678064,30.72523231103549,4.637439818092584,14.301616157471388,19.216638560603577,3.841681452658184,10.43559566535298,5.232102473754859,
