Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,SMA_20,SMA_50,SMA_200,BB_Middle,BB_Std,BB_Upper,BB_Lower,RSI,Volatility
2015-11-10 00:00:00-05:00,102.95589170765616,103.70182037353516,102.63996787582478,103.70182037353516,21892200,0.0,0.0,0.0,,,,,,,,,
2015-11-11 00:00:00-05:00,103.82470005971533,103.85102593518594,102.74529899368768,102.7979507446289,22037600,0.0,0.0,0.0,,,,,,,,,
2015-11-12 00:00:00-05:00,102.08711705633978,102.22752394590582,100.6830146842382,100.83219909667967,39916100,0.0,0.0,0.0,,,,,,,,,
2015-11-13 00:00:00-05:00,100.42851454699677,101.21831748475506,99.74401509678604,100.10381317138672,43883000,0.0,0.0,0.0,,,,,,,,,
2015-11-16 00:00:00-05:00,100.00724973526526,100.99889521113936,99.48071237369749,100.96379852294922,28979100,0.0,0.0,0.0,,,,,,,,,
2015-11-17 00:00:00-05:00,101.05155286672674,101.92911736110511,100.43725370349044,100.57766723632812,34441000,0.0,0.0,0.0,,,,,,,,,
2015-11-18 00:00:00-05:00,100.85850942720867,102.36792175534286,100.49870469293352,102.28016662597656,35554300,0.0,0.0,0.0,,,,,,,,,
2015-11-19 00:00:00-05:00,102.183645222501,102.36793302304103,101.56934585874626,101.85016632080078,25512500,0.0,0.0,0.0,,,,,,,,,
2015-11-20 00:00:00-05:00,102.21872481820728,102.99097923523598,102.13096300432684,102.50831604003906,31697700,0.0,0.0,0.0,,,,,,,,,
2015-11-23 00:00:00-05:00,102.42059722242458,103.45612405754407,102.3942713470443,103.01734161376952,22716400,0.0,0.0,0.0,,,,,,,,,
2015-11-24 00:00:00-05:00,102.56976755038612,103.92121809491806,102.2889470927748,103.77203369140624,24994500,0.0,0.0,0.0,,,,,,,,,
2015-11-25 00:00:00-05:00,103.81589169753536,104.71100461635838,103.64915228611989,104.5793685913086,20772600,0.0,0.0,0.0,,,,,,,,,
2015-11-27 00:00:00-05:00,104.667135947638,105.22000597843332,104.32488625966332,104.97428894042967,14129300,0.0,0.0,0.0,,,,,,,,,
2015-11-30 00:00:00-05:00,105.3253021750888,105.36918308396544,104.47407012234754,104.5179443359375,30165400,0.0,0.0,0.0,,,,,,,,53.865288179345974,
2015-12-01 00:00:00-05:00,104.96552560457016,105.22879772103236,104.34245540391682,105.21124267578124,27899900,0.0,0.0,0.0,,,,,,,,56.70831154792684,
2015-12-02 00:00:00-05:00,105.07081490328466,105.34285779300522,103.94752656559294,104.07916259765624,22238300,0.0,0.0,0.0,,,,,,,,55.58087181119859,
2015-12-03 00:00:00-05:00,104.36875507994088,104.82508571260992,101.92034911442931,102.32402801513672,39485400,0.0,0.0,0.0,,,,,,,,56.619769425093054,
2015-12-04 00:00:00-05:00,102.3240391567172,103.49120177438697,102.0958704678953,103.35956573486328,32669900,0.0,0.0,0.0,,,,,,,,64.06356282988928,
2015-12-07 00:00:00-05:00,103.23670234803296,103.26302821563876,101.36749209986812,101.8062744140625,29621400,0.0,0.0,0.0,,,,,,,,53.433508556020385,
2015-12-08 00:00:00-05:00,100.88486222291468,101.80630806541498,100.44607976368384,101.24466705322266,30946000,0.0,0.0,0.0,102.72509078979492,,,102.72509078979492,1.532872712646159,105.79083621508724,99.6593453645026,52.68002371479951,
2015-12-09 00:00:00-05:00,100.94626310563082,101.94668629565888,99.6913453573974,100.11257934570312,41980400,0.0,0.0,0.0,102.54562873840332,,,102.54562873840332,1.6201260366548536,105.78588081171303,99.30537666509362,40.87216729080292,
2015-12-10 00:00:00-05:00,99.94583335967226,100.9901373928954,99.73521972697812,100.446044921875,31278800,0.0,0.0,0.0,102.42803344726562,,,102.42803344726562,1.6849078043829213,105.79784905603147,99.05821783849977,44.03869836767981,
