Date,SPY,QQQ,DIA,IWM
2015-11-10 00:00:00-05:00,176.236083984375,105.17583465576172,145.1826171875,103.70182037353516
2015-11-11 00:00:00-05:00,175.54315185546875,105.0458526611328,144.71710205078125,102.7979507446289
2015-11-12 00:00:00-05:00,173.09263610839844,104.02454376220705,142.64291381835938,100.83219909667967
2015-11-13 00:00:00-05:00,171.1491241455078,101.98193359375,140.96054077148438,100.10381317138672
2015-11-16 00:00:00-05:00,173.75167846679688,103.44890594482422,142.9286651611328,100.96379852294922
2015-11-17 00:00:00-05:00,173.625,103.51388549804688,143.04299926757812,100.57766723632812
2015-11-18 00:00:00-05:00,176.37973022460938,105.50079345703124,145.14178466796875,102.28016662597656
2015-11-19 00:00:00-05:00,176.2276153564453,105.57505798339844,145.08460998535156,101.85016632080078
2015-11-20 00:00:00-05:00,176.869873046875,106.28997802734376,145.8817901611328,102.50831604003906
2015-11-23 00:00:00-05:00,176.6670379638672,105.98361206054688,145.6195068359375,103.01734161376952
2015-11-24 00:00:00-05:00,176.90362548828125,105.89075469970705,145.81614685058594,103.77203369140624
2015-11-25 00:00:00-05:00,176.8782958984375,105.98361206054688,145.77528381347656,104.5793685913086
2015-11-27 00:00:00-05:00,177.08103942871094,106.13213348388672,145.75071716308594,104.97428894042967
2015-11-30 00:00:00-05:00,176.34591674804688,105.86290740966795,145.2017059326172,104.5179443359375
2015-12-01 00:00:00-05:00,178.02749633789062,106.9213638305664,146.4961700439453,105.21124267578124
2015-12-02 00:00:00-05:00,176.210693359375,106.26211547851562,145.25088500976562,104.07916259765624
2015-12-03 00:00:00-05:00,173.7432861328125,104.46092224121094,143.2355194091797,102.32402801513672
2015-12-04 00:00:00-05:00,177.1317596435547,106.90276336669922,146.1767120361328,103.35956573486328
2015-12-07 00:00:00-05:00,176.0586395263672,106.4199676513672,145.2918701171875,101.8062744140625
2015-12-08 00:00:00-05:00,174.87559509277344,106.42926788330078,144.0055389404297,101.24466705322266
2015-12-09 00:00:00-05:00,173.51512145996094,104.81373596191406,143.36654663085938,100.11257934570312
2015-12-10 00:00:00-05:00,173.96295166015625,105.2872543334961,144.095703125,100.446044921875
2015-12-11 00:00:00-05:00,170.5913848876953,102.86397552490234,141.51498413085938,98.2082748413086
2015-12-14 00:00:00-05:00,171.4532470703125,103.64387512207033,142.47360229492188,97.50618743896484
2015-12-15 00:00:00-05:00,173.253173828125,104.2752685546875,143.75160217285156,98.9103012084961
2015-12-16 00:00:00-05:00,175.78819274902344,105.8257827758789,145.5377197265625,100.4197235107422
2015-12-17 00:00:00-05:00,173.10952758789062,104.28450775146484,143.4566650390625,99.34909057617188
2015-12-18 00:00:00-05:00,170.02557373046875,102.28409576416016,140.42486572265625,97.83091735839844
2015-12-21 00:00:00-05:00,171.4281463623047,103.42025756835938,141.4512939453125,98.56807708740234
2015-12-22 00:00:00-05:00,172.98373413085938,104.10011291503906,142.89657592773438,99.47196197509766
2015-12-23 00:00:00-05:00,175.12582397460938,104.8730926513672,144.37484741210938,100.72686004638672
2015-12-24 00:00:00-05:00,174.83676147460938,104.85445404052734,143.89022827148438,100.9172592163086
2015-12-28 00:00:00-05:00,174.43727111816406,104.79857635498048,143.6931610107422,100.45012664794922
2015-12-29 00:00:00-05:00,176.2988739013672,106.4469757080078,145.3355712890625,101.5342025756836
2015-12-30 00:00:00-05:00,175.04928588867188,105.48775482177734,144.36654663085938,100.5118179321289
2015-12-31 00:00:00-05:00,173.29824829101562,104.17464447021484,142.88021850585938,99.26026153564452
2016-01-04 00:00:00-05:00,170.8756561279297,101.97679138183594,140.6629638671875,96.95988464355467
2016-01-05 00:00:00-05:00,171.1646270751953,101.79981231689452,140.7451171875,97.17142486572266
2016-01-06 00:00:00-05:00,169.00547790527344,100.82196807861328,138.73313903808594,95.69072723388672
2016-01-07 00:00:00-05:00,164.95077514648438,97.66485595703124,135.46482849121094,93.13473510742188
2016-01-08 00:00:00-05:00,163.1402587890625,96.86395263671876,134.0523223876953,91.53060150146484
2016-01-11 00:00:00-05:00,163.30172729492188,97.1619644165039,134.53680419921875,91.13401794433594
2016-01-12 00:00:00-05:00,164.6192626953125,98.28885650634766,135.4564971923828,91.4072494506836
2016-01-13 00:00:00-05:00,160.5135955810547,94.89893341064452,132.5002899169922,88.47225189208984
2016-01-14 00:00:00-05:00,163.148681640625,96.91983032226562,134.33969116210938,89.69737243652344
2016-01-15 00:00:00-05:00,159.64649963378906,93.9117431640625,131.19789123535156,88.24309539794922
2016-01-19 00:00:00-05:00,159.85903930664062,94.11660766601562,131.4772186279297,87.05321502685547
2016-01-20 00:00:00-05:00,157.8104248046875,93.82791900634766,129.4970703125,87.41461181640625
2016-01-21 00:00:00-05:00,158.6945037841797,93.92105102539062,130.31044006347656,87.2118911743164
2016-01-22 00:00:00-05:00,161.9501495361328,96.64044189453124,132.1099090576172,89.34481811523438
2016-01-25 00:00:00-05:00,159.50205993652344,95.20628356933594,130.39260864257812,87.36173248291016
2016-01-26 00:00:00-05:00,161.67813110351562,96.06307983398438,132.72613525390625,89.10685729980469
2016-01-27 00:00:00-05:00,159.9185791015625,93.66963958740234,130.88565063476562,87.88175201416016
2016-01-28 00:00:00-05:00,160.75160217285156,94.99205780029295,131.87979125976562,87.86412811279297
2016-01-29 00:00:00-05:00,164.67031860351562,96.97571563720705,135.05133056640625,90.74620819091795
2016-02-01 00:00:00-05:00,164.6107940673828,97.23649597167967,135.02662658691406,90.33197784423828
2016-02-02 00:00:00-05:00,161.6441192626953,95.13175201416016,132.6191864013672,88.38411712646484
