,DEXJPUS,DEXUSEU,DEXCHUS,DEXUSUK,DTWEXBGS
2005-11-10,118.05,1.174,8.0847,1.7462,
2005-11-11,,,,,
2005-11-14,118.88,1.1667,8.0856,1.7349,
2005-11-15,118.93,1.1695,8.0845,1.7366,
2005-11-16,119.17,1.1672,8.0835,1.7166,
2005-11-17,118.81,1.1706,8.0845,1.719,
2005-11-18,119.21,1.1741,8.0832,1.7147,
2005-11-21,119.03,1.1734,8.0833,1.7165,
2005-11-22,119.22,1.1737,8.0839,1.7138,
2005-11-23,118.76,1.1799,8.0816,1.7214,
2005-11-24,,,,,
2005-11-25,119.65,1.1724,8.0815,1.7155,
2005-11-28,119.25,1.1804,8.0825,1.7221,
2005-11-29,119.48,1.1786,8.0796,1.7203,
2005-11-30,119.66,1.179,8.0804,1.7321,
2005-12-01,120.62,1.1702,8.0798,1.729,
2005-12-02,120.77,1.1699,8.0806,1.7304,
2005-12-05,120.83,1.1787,8.0808,1.7397,
2005-12-06,120.82,1.1784,8.078,1.7402,
2005-12-07,120.93,1.1722,8.0771,1.735,
2005-12-08,120.27,1.183,8.078,1.7514,
2005-12-09,120.54,1.1824,8.0765,1.7554,
2005-12-12,119.9,1.1969,8.077,1.774,
2005-12-13,120.11,1.1926,8.0751,1.7674,
2005-12-14,116.81,1.2041,8.0726,1.7739,
2005-12-15,116.55,1.1965,8.074,1.7648,
2005-12-16,115.78,1.2012,8.0735,1.7716,
2005-12-19,116.01,1.1996,8.073,1.7641,
2005-12-20,117.01,1.1848,8.074,1.7544,
2005-12-21,117.4,1.1816,8.0765,1.7402,
2005-12-22,116.55,1.1883,8.0775,1.7395,
2005-12-23,116.38,1.1857,8.0762,1.7326,
2005-12-26,,,,,
2005-12-27,117.07,1.1856,8.0724,1.7308,
2005-12-28,117.62,1.1875,8.0725,1.7226,
2005-12-29,117.86,1.1846,8.0709,1.7261,
2005-12-30,117.88,1.1842,8.0702,1.7188,
2006-01-02,,,,,101.4155
2006-01-03,116.34,1.198,8.0702,1.7404,100.7558
2006-01-04,116.31,1.2091,8.0702,1.7588,100.2288
2006-01-05,115.96,1.2101,8.0678,1.7566,100.2992
2006-01-06,114.45,1.2148,8.0663,1.7697,100.0241
2006-01-09,114.66,1.2064,8.0665,1.7645,100.1794
2006-01-10,114.64,1.2063,8.061,1.7645,100.1436
2006-01-11,113.96,1.2135,8.0682,1.7643,99.871
2006-01-12,114.31,1.2035,8.0685,1.7612,100.0643
2006-01-13,114.43,1.2103,8.0698,1.7715,99.9675
2006-01-16,,,,,99.9715
2006-01-17,115.83,1.2073,8.0676,1.7628,100.2447
2006-01-18,115.35,1.2083,8.0685,1.7622,100.4085
2006-01-19,115.07,1.211,8.0687,1.7618,100.1862
2006-01-20,115.42,1.2101,8.0596,1.7663,99.9017
2006-01-23,114.67,1.2276,8.0645,1.7842,99.3783
2006-01-24,114.54,1.2287,8.0625,1.7885,99.3434
2006-01-25,115.73,1.2252,8.063,1.7874,99.348
2006-01-26,116.27,1.2229,8.062,1.783,99.4798
2006-01-27,117.16,1.213,8.0608,1.7733,99.6433
2006-01-30,117.55,1.2091,8.0608,1.7688,99.7144
2006-01-31,116.88,1.2158,8.0608,1.782,99.4311
2006-02-01,117.85,1.2092,8.0616,1.7781,99.6132
2006-02-02,118.26,1.21,8.0616,1.7807,99.7916
2006-02-03,118.95,1.2021,8.0616,1.7626,100.118
2006-02-06,118.94,1.1971,8.056,1.7462,100.1372
2006-02-07,118.01,1.1974,8.0566,1.7444,100.1759
2006-02-08,118.69,1.1935,8.0545,1.7405,100.4879
2006-02-09,118.66,1.1963,8.0558,1.7411,100.2117
2006-02-10,117.64,1.192,8.0516,1.7454,100.322
2006-02-13,117.63,1.1905,8.0472,1.7438,100.3955
2006-02-14,117.43,1.1895,8.0477,1.7343,100.3987
2006-02-15,117.93,1.1884,8.0481,1.7401,100.4489
2006-02-16,117.91,1.1882,8.0494,1.7354,100.5183
2006-02-17,118.43,1.1906,8.0493,1.7403,100.3404
2006-02-20,,,,,100.3447
2006-02-21,118.85,1.1912,8.0485,1.7447,100.2346
2006-02-22,118.51,1.1905,8.0497,1.7425,100.3879
2006-02-23,117.0,1.1923,8.0477,1.7522,100.1956
2006-02-24,116.87,1.1882,8.0432,1.7448,100.2594
2006-02-27,115.97,1.186,8.042,1.7409,100.0724
2006-02-28,115.82,1.1925,8.0415,1.7539,99.7695
2006-03-01,116.18,1.1899,8.039,1.7473,99.8355
2006-03-02,116.07,1.2003,8.0394,1.7493,99.5969
2006-03-03,116.46,1.2028,8.038,1.7531,99.7024
2006-03-06,117.46,1.2002,8.0382,1.7492,99.9834
2006-03-07,117.76,1.1888,8.0425,1.7362,100.564
2006-03-08,117.9,1.1914,8.0476,1.7359,100.8565
2006-03-09,117.96,1.192,8.048,1.7366,100.7718
2006-03-10,119.07,1.1886,8.0492,1.7256,100.9566
2006-03-13,119.01,1.1942,8.0505,1.731,100.8563
2006-03-14,117.36,1.2025,8.0473,1.7479,100.312
2006-03-15,117.3,1.2045,8.0374,1.746,100.2121
2006-03-16,117.13,1.2151,8.0385,1.7552,99.9049
2006-03-17,115.89,1.2197,8.0286,1.7567,99.8614
2006-03-20,116.25,1.2168,8.025,1.7563,100.0491
2006-03-21,117.23,1.2079,8.0272,1.7459,100.4716
2006-03-22,116.72,1.2095,8.0306,1.7483,100.496
2006-03-23,117.6,1.1984,8.0274,1.7367,100.8256
2006-03-24,117.5,1.2034,8.0338,1.7427,100.7773
2006-03-27,116.62,1.2015,8.0245,1.747,100.8359
2006-03-28,117.23,1.2078,8.0212,1.7497,100.7995
2006-03-29,117.8,1.203,8.028,1.7356,101.0474
2006-03-30,117.41,1.2132,8.027,1.7448,100.5698
2006-03-31,117.48,1.2139,8.0167,1.7393,100.56
2006-04-03,117.82,1.2124,8.021,1.7389,100.6204
2006-04-04,117.44,1.2258,8.0194,1.7559,100.1319
2006-04-05,117.59,1.2272,8.0116,1.7497,100.0792
2006-04-06,117.72,1.2216,8.0098,1.7504,100.1578
2006-04-07,118.31,1.2109,8.013,1.7407,100.4187
2006-04-10,118.66,1.2091,8.004,1.7405,100.4091
2006-04-11,118.61,1.2125,8.0045,1.7467,100.2903
2006-04-12,118.47,1.2107,8.0115,1.7508,100.3589
2006-04-13,118.42,1.2107,8.0248,1.7529,100.4759
2006-04-14,118.65,1.2106,8.0175,1.751,100.4697
2006-04-17,117.68,1.2267,8.0158,1.7716,99.8719
2006-04-18,117.75,1.2274,8.014,1.7762,99.6747
2006-04-19,117.58,1.2345,8.0128,1.7895,99.3467
2006-04-20,117.49,1.2326,8.011,1.7801,99.4974
2006-04-21,116.91,1.234,8.0165,1.7817,99.4345
2006-04-24,114.93,1.2373,8.0163,1.7839,99.117
2006-04-25,114.83,1.2412,8.01,1.7876,98.9687
2006-04-26,114.72,1.2464,8.0163,1.7897,98.8907
2006-04-27,114.02,1.2525,8.0205,1.8011,98.5149
2006-04-28,113.79,1.2624,8.0165,1.822,98.1412
2006-05-01,113.06,1.2607,8.0165,1.8286,97.9085
2006-05-02,113.26,1.2644,8.0165,1.8397,97.6571
2006-05-03,113.44,1.2639,8.01,1.8446,97.5572
2006-05-04,113.46,1.2684,8.0114,1.8485,97.4878
2006-05-05,112.45,1.2733,8.0114,1.8588,97.2585
2006-05-08,111.55,1.272,8.007,1.8584,97.1945
2006-05-09,111.31,1.2747,8.0042,1.8632,96.9578
2006-05-10,110.55,1.2799,8.0032,1.8648,96.6391
2006-05-11,110.26,1.2855,8.0038,1.8842,96.5383
2006-05-12,110.49,1.2888,8.0056,1.8911,96.8788
2006-05-15,110.21,1.2826,8.003,1.8836,97.3588
2006-05-16,110.07,1.2817,8.0005,1.8819,97.1959
2006-05-17,110.6,1.2722,8.002,1.882,97.4725
2006-05-18,110.89,1.2795,8.0095,1.8878,97.7033
2006-05-19,111.76,1.275,8.0175,1.8755,97.933
2006-05-22,111.62,1.285,8.0255,1.8861,97.9377
2006-05-23,111.35,1.2844,8.0235,1.8809,97.7045
2006-05-24,112.8,1.2747,8.0175,1.8678,98.3936
2006-05-25,111.92,1.2777,8.0235,1.8719,97.8423
2006-05-26,112.58,1.2739,8.0245,1.8566,97.8995
2006-05-29,,,,,97.8936
2006-05-30,112.18,1.2868,8.03,1.8825,97.588
2006-05-31,112.26,1.2833,8.0215,1.8732,97.7705
2006-06-01,112.43,1.2824,8.0184,1.8686,97.7726
2006-06-02,111.66,1.2912,8.0225,1.8817,97.5544
2006-06-05,111.7,1.2953,8.0057,1.8786,97.3681
2006-06-06,113.26,1.2828,8.012,1.8608,98.1449
2006-06-07,113.35,1.2799,8.0171,1.8585,98.1641
2006-06-08,114.22,1.2648,8.0084,1.8425,98.9313
2006-06-09,113.89,1.2636,8.011,1.8426,98.5471
2006-06-12,114.17,1.2587,8.015,1.844,98.5494
2006-06-13,115.06,1.2574,8.0034,1.8398,98.9201
2006-06-14,114.85,1.2631,7.9985,1.8491,98.8338
2006-06-15,115.06,1.2616,7.999,1.8477,98.8846
2006-06-16,115.12,1.2623,7.9995,1.8484,98.9127
2006-06-19,115.26,1.2577,8.0035,1.8401,99.145
2006-06-20,115.02,1.2568,8.0009,1.8399,99.0117
2006-06-21,114.76,1.2665,7.9969,1.846,98.5544
2006-06-22,115.94,1.2582,7.9963,1.8306,99.0856
2006-06-23,116.26,1.2522,7.9997,1.8204,99.4216
2006-06-26,116.38,1.2554,7.9995,1.819,99.3634
2006-06-27,116.26,1.2589,7.998,1.8237,99.219
2006-06-28,116.42,1.2532,7.997,1.8159,99.392
2006-06-29,116.17,1.2534,7.9955,1.8108,99.2158
2006-06-30,114.51,1.2779,7.9943,1.8491,98.2483
2006-07-03,114.92,1.2793,7.9924,1.841,98.0371
2006-07-04,,,,,98.0221
2006-07-05,115.65,1.2726,7.9955,1.8342,98.308
2006-07-06,115.18,1.2757,7.9945,1.8376,98.138
2006-07-07,113.98,1.2822,7.9936,1.8513,97.7508
2006-07-10,113.97,1.2751,7.9908,1.842,97.9813
2006-07-11,114.15,1.2754,7.9911,1.8431,98.2132
2006-07-12,115.41,1.2706,7.9892,1.8347,98.5202
2006-07-13,115.45,1.2673,7.9899,1.8404,98.5583
2006-07-14,116.33,1.2641,7.9956,1.8364,98.6814
2006-07-17,117.08,1.2529,7.997,1.8203,99.0767
2006-07-18,117.44,1.25,8.0016,1.8271,99.1341
2006-07-19,117.08,1.256,8.0018,1.8377,98.9262
2006-07-20,116.83,1.2639,7.9918,1.8495,98.6014
2006-07-21,116.34,1.2684,7.9897,1.8586,98.5221
2006-07-24,116.65,1.263,7.9851,1.8492,98.7795
2006-07-25,117.3,1.2576,7.9872,1.8407,98.9388
2006-07-26,116.85,1.2628,7.9849,1.8474,98.742
2006-07-27,115.55,1.2732,7.974,1.8627,98.2283
2006-07-28,114.74,1.2748,7.9792,1.8645,98.0539
2006-07-31,114.44,1.2764,7.969,1.8685,97.9996
2006-08-01,114.96,1.2778,7.973,1.8711,98.1715
2006-08-02,114.54,1.2798,7.972,1.8781,97.9432
2006-08-03,115.27,1.2779,7.9748,1.8847,98.0694
2006-08-04,114.21,1.2894,7.9783,1.9098,97.6005
2006-08-07,114.85,1.2867,7.968,1.9102,97.5088
2006-08-08,115.01,1.2839,7.9712,1.9077,97.6524
2006-08-09,115.14,1.2888,7.9745,1.9089,97.4402
2006-08-10,115.59,1.2765,7.969,1.8888,97.8887
2006-08-11,116.18,1.2757,7.9725,1.8952,97.7863
2006-08-14,116.53,1.2735,7.9928,1.8902,97.9677
2006-08-15,115.96,1.2788,8.0,1.8948,97.8043
2006-08-16,115.71,1.2864,7.9827,1.8999,97.3894
2006-08-17,115.44,1.287,7.9685,1.894,97.3486
2006-08-18,115.79,1.281,7.9736,1.8808,97.7577
2006-08-21,115.86,1.2914,7.9698,1.8968,97.3856
2006-08-22,116.61,1.2804,7.9663,1.8881,97.6079
2006-08-23,116.43,1.2794,7.9698,1.8929,97.5731
2006-08-24,116.38,1.276,7.9694,1.8884,97.7939
2006-08-25,117.31,1.2767,7.969,1.8884,97.8827
2006-08-28,117.15,1.2784,7.9706,1.8968,97.8467
2006-08-29,116.92,1.2768,7.9615,1.8914,97.7748
2006-08-30,117.07,1.2825,7.959,1.9042,97.5792
2006-08-31,117.35,1.2793,7.9538,1.9024,97.644
2006-09-01,117.21,1.2833,7.9533,1.905,97.5084
2006-09-04,,,,,97.4981
2006-09-05,116.04,1.281,7.9495,1.8926,97.4392
2006-09-06,116.73,1.2787,7.947,1.881,97.6087
2006-09-07,116.3,1.2757,7.9409,1.8763,97.8108
2006-09-08,116.89,1.2673,7.9485,1.8655,98.2119
2006-09-11,117.57,1.2699,7.9545,1.863,98.3845
2006-09-12,117.82,1.2693,7.9464,1.8747,98.2781
2006-09-13,117.47,1.2708,7.949,1.8767,98.1775
2006-09-14,117.47,1.2736,7.9462,1.8886,98.0088
2006-09-15,117.72,1.2648,7.9429,1.8783,98.2104
2006-09-18,118.02,1.2671,7.9465,1.8773,98.1332
2006-09-19,117.6,1.2683,7.9357,1.8828,98.1703
2006-09-20,117.29,1.2701,7.9264,1.8894,98.1556
2006-09-21,116.76,1.273,7.9248,1.897,97.9458
2006-09-22,116.45,1.2796,7.9195,1.9012,97.8667
2006-09-25,116.43,1.2747,7.9212,1.9001,97.9909
2006-09-26,117.16,1.2687,7.9135,1.8954,98.0555
2006-09-27,117.53,1.2699,7.9019,1.8866,98.0107
2006-09-28,117.84,1.2697,7.8965,1.8746,98.0381
2006-09-29,117.99,1.2687,7.904,1.8716,98.1054
2006-10-02,117.66,1.2744,7.904,1.8861,97.9247
2006-10-03,117.84,1.2727,7.904,1.8873,98.1267
2006-10-04,118.02,1.2687,7.904,1.8839,98.3682
2006-10-05,117.69,1.2687,7.904,1.8772,98.2776
2006-10-06,118.89,1.26,7.904,1.8712,98.5619
2006-10-09,,,,,98.5702
2006-10-10,119.68,1.2541,7.91,1.8548,98.9125
2006-10-11,119.49,1.2547,7.9168,1.8568,98.9146
2006-10-12,119.53,1.2537,7.9143,1.8558,98.831
2006-10-13,119.81,1.2502,7.9,1.8551,98.8002
2006-10-16,119.25,1.2518,7.912,1.8606,98.71
2006-10-17,118.63,1.2564,7.9081,1.8734,98.5354
2006-10-18,119.09,1.2516,7.9066,1.8675,98.6164
2006-10-19,118.35,1.2594,7.9102,1.876,98.2897
2006-10-20,118.73,1.2613,7.9028,1.8828,98.1629
2006-10-23,119.32,1.2544,7.8981,1.871,98.4483
2006-10-24,119.25,1.2565,7.9023,1.8745,98.349
2006-10-25,119.13,1.2591,7.901,1.8772,98.2057
2006-10-26,118.62,1.2669,7.8949,1.8876,97.8907
2006-10-27,117.61,1.2725,7.8886,1.8968,97.4914
2006-10-30,117.38,1.2717,7.8728,1.9025,97.5672
2006-10-31,116.82,1.2773,7.8785,1.9084,97.3901
2006-11-01,117.01,1.2771,7.8714,1.9091,97.4949
2006-11-02,117.12,1.278,7.872,1.9088,97.6556
2006-11-03,118.06,1.2705,7.8715,1.9011,97.7209
2006-11-06,118.4,1.2715,7.875,1.8967,97.806
2006-11-07,117.44,1.2806,7.872,1.9098,97.4453
2006-11-08,117.74,1.2775,7.8651,1.9057,97.58
2006-11-09,117.92,1.2835,7.8645,1.9067,97.5041
2006-11-10,117.47,1.2861,7.8635,1.912,97.4638
2006-11-13,118.14,1.281,7.8642,1.9024,97.7904
2006-11-14,117.72,1.2812,7.864,1.8946,97.7475
2006-11-15,118.06,1.2808,7.8677,1.8883,97.8359
2006-11-16,118.12,1.2808,7.8713,1.8902,97.8098
2006-11-17,117.73,1.2823,7.8717,1.8936,97.9855
2006-11-20,118.16,1.281,7.8694,1.8963,98.0254
2006-11-21,118.0,1.2824,7.8683,1.8984,98.0215
2006-11-22,116.61,1.2928,7.8731,1.9145,97.5315
2006-11-23,,,,,97.5314
2006-11-24,115.93,1.3081,7.8515,1.9315,97.0657
2006-11-27,116.12,1.312,7.8426,1.9368,96.9986
2006-11-28,116.14,1.3162,7.844,1.948,96.8428
2006-11-29,116.29,1.3146,7.8303,1.9492,96.8577
2006-11-30,115.55,1.3261,7.834,1.9693,96.5779
2006-12-01,115.33,1.3316,7.835,1.9794,96.4585
2006-12-04,115.37,1.3327,7.8274,1.9788,96.4319
2006-12-05,114.98,1.3327,7.8217,1.9746,96.2082
2006-12-06,115.07,1.3307,7.8224,1.9692,96.2839
2006-12-07,115.13,1.3296,7.8226,1.9628,96.3207
2006-12-08,116.23,1.3215,7.8235,1.9564,96.6123
2006-12-11,117.02,1.3223,7.834,1.9552,96.6646
2006-12-12,117.15,1.3233,7.8283,1.9655,96.7119
2006-12-13,117.43,1.3215,7.8265,1.9663,96.7296
2006-12-14,117.61,1.3174,7.8229,1.9646,96.7946
2006-12-15,117.84,1.3095,7.8265,1.9538,96.9857
2006-12-18,118.14,1.3073,7.8192,1.9458,97.1559
2006-12-19,117.93,1.3194,7.8243,1.9666,96.9313
2006-12-20,118.39,1.3183,7.8158,1.9648,96.7762
2006-12-21,118.26,1.3175,7.816,1.9622,96.9148
2006-12-22,118.9,1.3131,7.8153,1.957,97.1113
2006-12-25,,,,,97.1221
2006-12-26,118.93,1.3132,7.8199,1.9568,97.1786
2006-12-27,118.76,1.3125,7.8215,1.9566,97.2076
2006-12-28,118.95,1.3158,7.8116,1.9621,97.0656
2006-12-29,119.02,1.3197,7.8041,1.9586,97.0312
2007-01-01,,,,,97.0323
2007-01-02,118.83,1.3286,7.8051,1.9736,
2007-01-03,119.58,1.3169,7.8051,1.9498,97.1281
2007-01-04,119.28,1.3094,7.809,1.9443,97.5251
2007-01-05,118.77,1.3005,7.8047,1.9305,97.7801
2007-01-08,118.49,1.3023,7.8127,1.9385,97.788
2007-01-09,119.45,1.2995,7.8055,1.94,97.9642
2007-01-10,119.52,1.294,7.8075,1.9334,98.0943
2007-01-11,120.49,1.2904,7.7945,1.9439,98.0845
2007-01-12,120.36,1.2926,7.7984,1.9577,97.921
2007-01-15,,,,,97.9201
2007-01-16,120.64,1.2918,7.79,1.9605,97.9816
2007-01-17,120.54,1.2948,7.7752,1.972,97.7509
2007-01-18,121.32,1.2942,7.7705,1.9715,97.8286
2007-01-19,121.22,1.2968,7.7752,1.9759,97.6868
2007-01-22,121.56,1.2957,7.7759,1.9772,97.827
2007-01-23,121.54,1.3025,7.7756,1.9847,97.8117
2007-01-24,120.77,1.2964,7.7705,1.9675,97.908
2007-01-25,120.97,1.298,7.7705,1.9703,97.8396
2007-01-26,121.53,1.2909,7.7748,1.9598,98.1491
2007-01-29,121.81,1.2948,7.773,1.9592,98.2066
2007-01-30,121.7,1.2954,7.775,1.9617,98.1515
2007-01-31,121.02,1.2998,7.7714,1.9611,97.964
2007-02-01,120.67,1.3021,7.7575,1.9686,97.7101
2007-02-02,121.02,1.296,7.7555,1.9662,97.9743
2007-02-05,120.34,1.2933,7.7602,1.96,97.87
2007-02-06,120.35,1.2969,7.7565,1.9693,97.7357
2007-02-07,120.65,1.302,7.7474,1.9699,97.7239
2007-02-08,121.19,1.3034,7.7484,1.9586,97.8169
2007-02-09,121.59,1.3005,7.7476,1.9512,97.7076
2007-02-12,121.77,1.2962,7.757,1.9474,97.9409
2007-02-13,121.24,1.3024,7.7632,1.9443,97.7063
2007-02-14,120.8,1.3126,7.7565,1.9628,97.2779
2007-02-15,119.49,1.314,7.7545,1.9532,97.1588
2007-02-16,119.23,1.3137,7.7426,1.9499,97.164
2007-02-19,,,,,97.1545
2007-02-20,120.1,1.3134,7.7466,1.9547,97.321
2007-02-21,120.99,1.3126,7.7426,1.9524,97.27
2007-02-22,121.3,1.3134,7.7436,1.9571,97.266
2007-02-23,121.1,1.3164,7.7416,1.9639,97.1756
2007-02-26,120.76,1.3159,7.75,1.9631,97.2281
2007-02-27,118.67,1.3246,7.7416,1.9661,97.0883
2007-02-28,118.33,1.323,7.741,1.9613,97.2386
2007-03-01,117.53,1.3173,7.7435,1.9579,97.3358
2007-03-02,116.82,1.3182,7.7445,1.9458,97.3691
2007-03-05,116.01,1.3094,7.7415,1.9235,97.6716
2007-03-06,116.5,1.3108,7.7453,1.927,97.5123
2007-03-07,116.41,1.3148,7.743,1.9315,97.4558
2007-03-08,117.35,1.3129,7.74,1.93,97.5731
2007-03-09,118.15,1.3118,7.7445,1.9318,97.4559
2007-03-12,117.51,1.3186,7.7454,1.9291,97.3013
2007-03-13,116.96,1.3199,7.741,1.9322,97.2203
2007-03-14,116.33,1.3227,7.737,1.9337,97.2759
2007-03-15,117.26,1.3249,7.743,1.9365,97.2476
2007-03-16,116.77,1.3307,7.728,1.9423,97.0407
2007-03-19,117.58,1.3299,7.7355,1.946,97.1062
2007-03-20,117.32,1.3291,7.732,1.958,96.7985
2007-03-21,117.83,1.3305,7.735,1.9596,96.6195
2007-03-22,117.79,1.3359,7.7286,1.9672,96.3893
2007-03-23,117.82,1.3302,7.729,1.9632,96.5662
2007-03-26,117.84,1.3336,7.7396,1.9694,96.5493
2007-03-27,117.8,1.3357,7.7334,1.9664,96.4558
2007-03-28,116.83,1.3331,7.7318,1.9611,96.4894
2007-03-29,117.75,1.3336,7.728,1.9627,96.5067
2007-03-30,117.56,1.3374,7.7232,1.9685,96.3183
2007-04-02,117.69,1.3374,7.7296,1.9786,96.3175
2007-04-03,118.83,1.3363,7.7267,1.9781,96.3774
2007-04-04,118.72,1.3364,7.7345,1.9756,96.3646
2007-04-05,118.66,1.3426,7.725,1.9708,96.1188
2007-04-06,119.33,1.338,7.7248,1.9655,96.2526
2007-04-09,119.28,1.3367,7.729,1.9608,96.293
2007-04-10,119.07,1.3436,7.7304,1.9718,96.1179
2007-04-11,119.36,1.3436,7.7317,1.9786,96.0293
2007-04-12,118.99,1.3484,7.724,1.9769,95.7999
2007-04-13,119.27,1.3518,7.7222,1.9829,95.711
2007-04-16,119.84,1.355,7.7283,1.9907,95.5538
2007-04-17,118.96,1.3569,7.7288,2.0061,95.3832
2007-04-18,118.27,1.3574,7.7208,2.0041,95.3109
2007-04-19,118.36,1.3605,7.7125,2.0029,95.2712
2007-04-20,118.81,1.3601,7.715,2.0047,95.1692
2007-04-23,118.47,1.358,7.728,2.0017,95.1833
2007-04-24,118.52,1.3622,7.7345,2.0028,95.1608
2007-04-25,118.62,1.3647,7.7203,2.0042,94.8497
2007-04-26,119.5,1.359,7.73,1.9903,95.1653
2007-04-27,119.59,1.3625,7.7139,1.9985,95.0103
2007-04-30,119.44,1.366,7.709,2.0,94.8365
2007-05-01,119.77,1.36,7.7065,1.9993,95.0037
2007-05-02,120.05,1.3598,7.7039,1.991,95.0352
2007-05-03,120.33,1.3566,7.705,1.9878,95.0167
2007-05-04,120.16,1.3587,7.7035,1.9931,94.9118
2007-05-07,119.96,1.3616,7.7039,1.9944,94.6914
2007-05-08,119.89,1.3532,7.6951,1.9902,94.8648
2007-05-09,119.8,1.3549,7.6941,1.9963,94.7933
2007-05-10,120.37,1.3512,7.6936,1.9833,94.9506
2007-05-11,120.19,1.3519,7.6835,1.9824,95.0035
2007-05-14,120.37,1.3544,7.6719,1.9803,94.8267
2007-05-15,120.22,1.3603,7.6938,1.9862,94.5574
2007-05-16,120.74,1.3522,7.683,1.9774,94.8143
2007-05-17,121.3,1.3494,7.673,1.9748,94.8339
2007-05-18,121.09,1.3511,7.6636,1.9755,94.6573
2007-05-21,121.57,1.3457,7.6656,1.9695,94.7026
2007-05-22,121.47,1.3464,7.656,1.9768,94.5753
2007-05-23,121.52,1.3482,7.649,1.9879,94.4557
2007-05-24,121.46,1.3429,7.6525,1.9852,94.7025
2007-05-25,121.72,1.3452,7.6527,1.9845,94.5022
2007-05-28,,,,,94.4959
2007-05-29,121.79,1.3483,7.6514,1.9814,94.3533
2007-05-30,121.48,1.3419,7.6463,1.9747,94.549
2007-05-31,121.76,1.3453,7.6516,1.9797,94.3215
2007-06-01,122.1,1.344,7.6483,1.9804,94.132
2007-06-04,121.72,1.3488,7.6503,1.9922,93.9969
2007-06-05,121.49,1.3526,7.6397,1.9941,93.9986
2007-06-06,121.08,1.3492,7.6377,1.9915,94.1217
2007-06-07,121.34,1.3456,7.6525,1.9798,94.3537
2007-06-08,121.62,1.3359,7.6666,1.9657,94.7599
2007-06-11,121.78,1.3359,7.668,1.9686,94.6576
2007-06-12,121.76,1.3325,7.6456,1.975,94.6991
2007-06-13,122.37,1.3295,7.637,1.9728,94.9011
2007-06-14,122.97,1.3311,7.642,1.9696,94.9029
2007-06-15,123.55,1.3365,7.6245,1.9765,94.6228
2007-06-18,123.67,1.3401,7.6193,1.9822,94.5475
2007-06-19,123.39,1.3416,7.6175,1.9884,94.3227
2007-06-20,123.6,1.3426,7.618,1.9937,94.3618
2007-06-21,123.68,1.3399,7.6208,1.9924,94.6073
2007-06-22,124.09,1.3438,7.622,1.9975,94.4371
2007-06-25,123.84,1.345,7.6187,1.9962,94.5105
2007-06-26,123.49,1.3468,7.6178,1.9997,94.4678
2007-06-27,122.52,1.3433,7.621,1.9965,94.5633
2007-06-28,123.01,1.3466,7.6198,2.0022,94.2395
2007-06-29,123.39,1.352,7.612,2.0063,94.1393
2007-07-02,122.32,1.3627,7.6055,2.0161,93.634
2007-07-03,122.4,1.3615,7.5948,2.0168,93.697
2007-07-04,,,,,93.6965
2007-07-05,122.82,1.3592,7.6,2.0114,93.7653
2007-07-06,123.27,1.3626,7.6,2.0119,93.5759
2007-07-09,123.34,1.3623,7.6055,2.0166,93.5519
2007-07-10,122.19,1.3714,7.5855,2.0248,93.3339
2007-07-11,122.13,1.3757,7.566,2.032,93.3089
2007-07-12,122.5,1.3776,7.569,2.0288,93.1198
2007-07-13,121.99,1.3788,7.571,2.0344,93.0133
2007-07-16,121.9,1.3785,7.566,2.0374,92.9094
2007-07-17,122.36,1.3782,7.5651,2.0455,92.9095
2007-07-18,121.83,1.3808,7.5655,2.0534,92.7959
2007-07-19,122.06,1.3811,7.558,2.049,92.7332
2007-07-20,121.15,1.3831,7.5727,2.0566,92.7179
2007-07-23,121.31,1.3817,7.5652,2.0585,92.6585
2007-07-24,120.57,1.3824,7.566,2.0626,92.505
2007-07-25,120.33,1.3711,7.5596,2.0511,92.9189
2007-07-26,119.14,1.373,7.568,2.0488,93.1186
2007-07-27,118.56,1.3647,7.564,2.029,93.5485
2007-07-30,118.41,1.3681,7.57,2.0238,93.5918
2007-07-31,119.13,1.3711,7.572,2.0364,93.4264
2007-08-01,118.71,1.3682,7.567,2.0309,93.4011
2007-08-02,119.35,1.3693,7.5733,2.0346,93.3038
2007-08-03,118.43,1.3785,7.567,2.0426,93.1039
2007-08-06,118.04,1.3789,7.5608,2.0293,93.1112
2007-08-07,118.48,1.3747,7.57,2.0202,93.3171
2007-08-08,119.76,1.3808,7.5748,2.0368,93.0989
2007-08-09,118.69,1.3701,7.5663,2.0271,93.441
2007-08-10,118.0,1.3686,7.5698,2.0219,93.5214
2007-08-13,118.47,1.3624,7.5835,2.0123,93.6032
2007-08-14,118.21,1.3581,7.578,2.0,94.0416
2007-08-15,117.19,1.3479,7.585,1.9923,94.5014
2007-08-16,114.03,1.3402,7.6181,1.9829,94.9055
2007-08-17,113.81,1.3492,7.596,1.9828,94.319
2007-08-20,114.49,1.3468,7.585,1.983,94.2138
2007-08-21,114.42,1.3483,7.594,1.9813,94.2676
2007-08-22,114.95,1.3535,7.5937,1.9916,94.0998
2007-08-23,115.81,1.356,7.5867,2.0035,93.9827
2007-08-24,116.12,1.3645,7.567,2.0099,93.6863
2007-08-27,116.05,1.3645,7.5604,2.0134,93.6109
2007-08-28,114.7,1.3626,7.5535,2.0065,93.8394
2007-08-29,115.52,1.3675,7.549,2.0182,93.7174
2007-08-30,115.81,1.3648,7.542,2.016,93.7324
