,USD/JPY,USD/AUD,USD/EUR,USD/CNY,AUD/CNY,AUD/EUR,AUD/JPY,CNY/EUR,CNY/JPY,EUR/JPY
2009-12-10,88.2,0.9163,1.4716,6.8264,0.13422887612797377,0.6226556129382984,0.010388888888888888,4.638760532753465,0.0773968253968254,0.016684807256235827
2009-12-11,89.23,0.9112,1.4601,6.8269,0.13347200046873398,0.6240668447366619,0.010211812170794575,4.675638654886652,0.0765090216294968,0.01636333071836826
2009-12-14,88.65,0.9156,1.4645,6.8281,0.1340929394707166,0.6251963127347218,0.010328257191201352,4.662410378968931,0.07702312464749013,0.016520022560631696
2009-12-15,89.91,0.9066,1.4514,6.827,0.13279625018309651,0.6246382802811079,0.010083416750083417,4.703734325478848,0.07593148704259815,0.01614280947614281
2009-12-16,89.52,0.9014,1.4577,6.8279,0.13201716486767529,0.6183714070110448,0.010069258266309205,4.684022775605405,0.07627234137622878,0.016283512064343163
2009-12-17,90.35,0.8855,1.4317,6.8286,0.12967518964355798,0.6184954948662429,0.009800774764803542,4.769574631556891,0.07557941339236303,0.015846153846153847
2009-12-18,90.47,0.8866,1.4281,6.828,0.12984768599882834,0.6208248722078287,0.00979993367967282,4.781177788670262,0.07547253233115951,0.015785343207693158
2009-12-21,90.95,0.8833,1.4319,6.8284,0.12935680393650048,0.6168726866401285,0.00971192963166575,4.768768768768769,0.07507861462341946,0.015743815283122593
2009-12-22,91.67,0.8777,1.4243,6.8285,0.1285348173098045,0.6162325352804887,0.009574560925057271,4.794284911886541,0.07449001854478018,0.015537253190793061
2009-12-23,91.52,0.8811,1.4341,6.8282,0.12903839957821975,0.6143923017920647,0.009627403846153846,4.761313715919392,0.07460882867132868,0.01566979895104895
2009-12-24,91.69,0.8828,1.4367,6.8271,0.12930819821007455,0.6144637015382474,0.009628094666812085,4.751931509709751,0.07445850147235249,0.015669102410295562
2009-12-25,,,,,,,,,,
2009-12-28,91.57,0.8875,1.4392,6.8299,0.1299433373841491,0.6166620344635908,0.009692038877361581,4.745622568093386,0.074586655018019,0.015716937861745113
2009-12-29,91.95,0.8969,1.4356,6.8289,0.13133886863184407,0.6247561994984676,0.0097542142468733,4.756826414042909,0.07426753670473082,0.015612833061446438
2009-12-30,92.66,0.8945,1.4316,6.8244,0.13107379403317507,0.6248253702151438,0.009653572199438808,4.766974015088013,0.07364990287071012,0.015450032376429959
2009-12-31,93.08,0.8979,1.4332,6.8259,0.13154309321847668,0.6265001395478649,0.009646540610227761,4.762698855707508,0.07333369144821658,0.01539750752041255
2010-01-01,,,,,,,,,,
2010-01-04,92.55,0.9133,1.4419,6.8273,0.13377176922062894,0.6334003745058603,0.009868179362506753,4.734933074415702,0.0737687736358725,0.015579686655861697
2010-01-05,91.48,0.9143,1.4402,6.8258,0.1339476691376835,0.6348423830023608,0.0099945343244425,4.7394806276905985,0.07461521644075207,0.01574333187581985
2010-01-06,92.53,0.9189,1.4404,6.8272,0.1345939770330443,0.6379477922799224,0.009930833243272453,4.739794501527354,0.07378363773911165,0.015566843185993731
2010-01-07,93.31,0.9168,1.4314,6.828,0.13427065026362037,0.6404918261841553,0.009825313471224948,4.770155092916027,0.07317543671632194,0.015340263637337906
2010-01-08,92.7,0.9218,1.4357,6.8274,0.13501479333274746,0.6420561398620882,0.009943905070118662,4.7554503029880895,0.0736504854368932,0.01548759439050701
2010-01-11,91.9,0.9295,1.4536,6.8263,0.13616454008760237,0.6394468904788112,0.010114254624591947,4.696133736929004,0.07427965179542981,0.015817192600652882
2010-01-12,90.95,0.9242,1.4523,6.8267,0.1353801983388753,0.6363698960269917,0.010161627267729522,4.700612821042484,0.07505992303463441,0.015968114348543155
2010-01-13,91.38,0.9225,1.4492,6.8295,0.1350757742148034,0.6365581010212531,0.010095206828627709,4.712600055202871,0.07473736047275116,0.01585905012037645
2010-01-14,91.03,0.9306,1.4478,6.8265,0.13632168754119972,0.6427683381682553,0.010223003405470724,4.715084956485702,0.07499176095792597,0.015904646819729758
2010-01-15,90.79,0.9234,1.4376,6.8269,0.13525904876298173,0.6423205342237062,0.010170723647978852,4.7488174735670565,0.07519440467011786,0.015834342989316002
2010-01-18,,,,,,,,,,
2010-01-19,91.13,0.9232,1.4269,6.8268,0.1352317337552001,0.6469969864741748,0.010130582684077691,4.784357698507254,0.07491276198836827,0.015657851421046858
2010-01-20,91.23,0.9085,1.4094,6.8258,0.13309795188842333,0.6446005392365546,0.009958347034966567,4.8430537817511,0.0748196865066316,0.015448865504768167
2010-01-21,90.25,0.9053,1.4106,6.8268,0.13260971465401064,0.6417836381681553,0.010031024930747923,4.8396427052318165,0.07564321329639889,0.015629916897506927
2010-01-22,90.07,0.905,1.4154,6.827,0.13256188662662957,0.639395223964957,0.010047740646164096,4.8233714850925535,0.07579660264238926,0.0157144443210836
2010-01-25,90.12,0.903,1.4146,6.8268,0.13227280717173492,0.6383429944860738,0.010019973368841544,4.825957867948537,0.07575233022636485,0.015696848646249446
2010-01-26,89.63,0.8949,1.4063,6.8263,0.13109590847164643,0.6363507075303989,0.009984380229833762,4.854085188082201,0.07616088363271227,0.01569005913198706
2010-01-27,89.41,0.8967,1.4053,6.8268,0.13134997363332748,0.6380843947911479,0.010029079521306343,4.8578951113641216,0.07635387540543564,0.01571748126607762
2010-01-28,90.08,0.9024,1.3993,6.8267,0.13218685455637424,0.6448938755091832,0.010017761989342806,4.878653612520546,0.07578485790408526,0.015533969804618117
2010-01-29,90.38,0.8873,1.387,6.8268,0.12997304740141793,0.6397260273972603,0.009817437486169507,4.921989906272531,0.07553441026775837,0.015346315556539059
2010-02-01,90.8,0.8877,1.3904,6.826,0.1300468795780838,0.6384493670886076,0.009776431718061675,4.909378596087456,0.0751762114537445,0.015312775330396476
2010-02-02,90.39,0.8843,1.3955,6.827,0.12952980811483814,0.633679684700824,0.00978316185418741,4.892153350053745,0.07552826640115057,0.015438654718442305
2010-02-03,91.11,0.8818,1.3907,6.826,0.12918253735716378,0.6340691737973683,0.009678410712325761,4.908319551305098,0.07492042585885193,0.015263966633739436
2010-02-04,89.11,0.8646,1.3759,6.828,0.12662565905096662,0.628388691038593,0.009702614745819774,4.962569954211789,0.07662439681292785,0.015440466838738637
2010-02-05,89.25,0.8617,1.3608,6.8275,0.12621017942145735,0.6332304526748971,0.009654901960784314,5.0172692533803644,0.07649859943977591,0.015247058823529412
2010-02-08,89.32,0.8693,1.3699,6.8265,0.12734197612246392,0.634571866559603,0.009732422749664129,4.983210453317761,0.07642745185848634,0.015336990595611286
2010-02-09,89.45,0.8772,1.3795,6.8267,0.1284954663307308,0.6358825661471548,0.009806595863610955,4.948677056904676,0.0763186137506987,0.015422023476802682
2010-02-10,89.88,0.874,1.3722,6.828,0.1280023432923257,0.6369333916338725,0.009724076546506453,4.975951027547005,0.0759679572763685,0.01526702269692924
2010-02-11,89.82,0.8886,1.364,6.8328,0.1300491745697225,0.651466275659824,0.00989311957247829,5.009384164222873,0.07607214428857716,0.015185927410376311
2010-02-12,90.0,0.8839,1.3625,6.8326,0.1293651025963762,0.6487339449541284,0.009821111111111112,5.014752293577982,0.07591777777777778,0.01513888888888889
2010-02-15,,,,,,,,,,
2010-02-16,90.46,0.8994,1.3742,6.8326,0.13163363873196146,0.654489885024014,0.009942516029184171,4.972056469218455,0.07553172673004643,0.01519124474906036
2010-02-17,90.79,0.8994,1.3623,6.8326,0.13163363873196146,0.6602070028628055,0.009906377354334178,5.015488512075167,0.07525718691485846,0.015004956493005837
2010-02-18,91.43,0.8971,1.3563,6.833,0.13128933118688715,0.6614318366143184,0.009811877939407196,5.03797095037971,0.07473476976922236,0.014834299464070874
2010-02-19,91.94,0.8954,1.3538,6.829,0.13111729389368867,0.6613975476436698,0.009738960191429193,5.0443196927167975,0.07427670219708506,0.014724820535131607
