,DEXJPUS,DEXUSAL,DEXUSEU,DEXCHUS
1999-01-01,,,,
1999-01-04,112.15,0.6182,1.1812,8.2793
1999-01-05,111.15,0.6217,1.176,8.2795
1999-01-06,112.78,0.6285,1.1636,8.2795
1999-01-07,111.69,0.634,1.1672,8.2798
1999-01-08,111.52,0.6326,1.1554,8.2796
1999-01-11,108.83,0.6395,1.1534,8.2797
1999-01-12,112.07,0.6401,1.1548,8.2795
1999-01-13,113.46,0.631,1.1698,8.2794
1999-01-14,113.25,0.6315,1.1689,8.279
1999-01-15,114.19,0.634,1.1591,8.279
1999-01-18,,,,
1999-01-19,113.76,0.6385,1.161,8.2787
1999-01-20,113.45,0.6398,1.1575,8.2791
1999-01-21,113.75,0.6396,1.1577,8.2789
1999-01-22,114.65,0.6348,1.1582,8.2787
1999-01-25,113.8,0.6309,1.1566,8.2784
1999-01-26,114.03,0.6305,1.1577,8.278
1999-01-27,115.62,0.6273,1.1481,8.2778
1999-01-28,116.36,0.6258,1.1395,8.2778
1999-01-29,116.0,0.6297,1.1371,8.2778
1999-02-01,115.09,0.6336,1.1303,8.2775
1999-02-02,112.12,0.6401,1.1328,8.2775
1999-02-03,112.46,0.6415,1.1339,8.2776
1999-02-04,112.03,0.649,1.1306,8.2776
1999-02-05,113.14,0.6517,1.1283,8.2776
1999-02-08,114.38,0.652,1.1296,8.2776
1999-02-09,114.42,0.6468,1.13,8.2776
1999-02-10,114.45,0.6453,1.1331,8.2776
1999-02-11,114.7,0.6495,1.1303,8.2776
1999-02-12,114.32,0.6463,1.1282,8.2776
1999-02-15,,,,
1999-02-16,118.08,0.638,1.1189,8.2787
1999-02-17,119.03,0.6336,1.123,8.2787
1999-02-18,119.82,0.635,1.1223,8.2787
1999-02-19,121.0,0.6375,1.1075,8.2787
1999-02-22,120.35,0.64,1.1037,8.2787
1999-02-23,121.45,0.6392,1.0993,8.2787
1999-02-24,121.9,0.6315,1.0972,8.2787
1999-02-25,119.26,0.6272,1.1068,8.2789
1999-02-26,118.7,0.6205,1.0995,8.279
1999-03-01,119.79,0.6179,1.0891,8.2792
1999-03-02,120.47,0.6205,1.0931,8.2789
1999-03-03,121.68,0.623,1.0888,8.2789
1999-03-04,123.5,0.6242,1.0824,8.2783
1999-03-05,122.57,0.6285,1.0843,8.2784
1999-03-08,121.73,0.6305,1.0899,8.2786
1999-03-09,121.4,0.6357,1.0873,8.2791
1999-03-10,119.84,0.635,1.0961,8.2788
1999-03-11,119.57,0.6365,1.0932,8.2789
1999-03-12,118.99,0.636,1.0936,8.2789
1999-03-15,117.7,0.6315,1.093,8.2789
1999-03-16,117.74,0.626,1.0915,8.2789
1999-03-17,118.15,0.6273,1.1015,8.2788
1999-03-18,117.53,0.6301,1.099,8.2788
1999-03-19,117.05,0.6304,1.0923,8.2793
1999-03-22,118.14,0.6336,1.0915,8.2792
1999-03-23,118.02,0.6382,1.0918,8.2795
1999-03-24,117.35,0.6394,1.0921,8.2796
1999-03-25,118.05,0.6363,1.0871,8.2798
1999-03-26,120.3,0.6352,1.0743,8.28
1999-03-29,119.78,0.6323,1.0716,8.2797
1999-03-30,120.1,0.627,1.0732,8.28
1999-03-31,118.43,0.634,1.0808,8.28
1999-04-01,120.19,0.6354,1.0782,8.2796
1999-04-02,120.6,0.6345,1.0782,8.2794
1999-04-05,122.0,0.6315,1.0706,8.2795
1999-04-06,120.74,0.628,1.0838,8.2797
1999-04-07,121.34,0.6272,1.0784,8.2797
1999-04-08,120.85,0.6244,1.0835,8.2799
1999-04-09,121.09,0.6296,1.0786,8.2797
1999-04-12,120.14,0.6343,1.0842,8.2797
1999-04-13,120.04,0.6365,1.078,8.2797
1999-04-14,118.89,0.6378,1.0779,8.2794
1999-04-15,119.04,0.6359,1.0717,8.2789
1999-04-16,117.86,0.6466,1.0688,8.2787
1999-04-19,117.99,0.6518,1.0608,8.2787
1999-04-20,118.18,0.6475,1.063,8.2783
1999-04-21,119.76,0.6469,1.0612,8.2783
1999-04-22,119.84,0.6507,1.0598,8.2783
1999-04-23,119.26,0.6516,1.0634,8.2784
1999-04-26,119.13,0.6488,1.059,8.2793
1999-04-27,120.23,0.6505,1.0649,8.2794
1999-04-28,119.13,0.6539,1.0616,8.2791
1999-04-29,119.26,0.6583,1.0591,8.2794
1999-04-30,119.43,0.662,1.0564,8.279
1999-05-03,120.14,0.664,1.0571,8.279
1999-05-04,120.94,0.6625,1.0593,8.2789
1999-05-05,120.91,0.6614,1.0724,8.2789
1999-05-06,120.77,0.669,1.0779,8.2786
1999-05-07,120.78,0.6709,1.0781,8.2783
1999-05-10,120.68,0.6688,1.0787,8.2787
1999-05-11,120.96,0.6712,1.072,8.2782
1999-05-12,120.86,0.667,1.0666,8.2783
1999-05-13,121.67,0.6679,1.0626,8.2778
1999-05-14,122.64,0.6648,1.065,8.2784
1999-05-17,123.27,0.6662,1.0672,8.2785
1999-05-18,123.24,0.6705,1.0672,8.279
1999-05-19,124.45,0.6633,1.0641,8.2783
1999-05-20,124.15,0.661,1.063,8.278
1999-05-21,123.9,0.6595,1.0577,8.278
1999-05-24,123.57,0.6595,1.0593,8.2785
1999-05-25,122.88,0.658,1.0587,8.2789
1999-05-26,122.03,0.6492,1.0471,8.279
1999-05-27,121.27,0.6485,1.0439,8.2788
1999-05-28,120.88,0.6528,1.0422,8.2786
1999-05-31,,,,
1999-06-01,120.75,0.6415,1.0449,8.2781
1999-06-02,121.14,0.6445,1.0357,8.2787
1999-06-03,121.5,0.6477,1.0355,8.2784
1999-06-04,121.99,0.6555,1.0327,8.2781
1999-06-07,121.31,0.6583,1.0296,8.2781
1999-06-08,119.88,0.6586,1.0438,8.2779
1999-06-09,119.2,0.6585,1.045,8.2778
1999-06-10,118.85,0.6625,1.0477,8.2777
1999-06-11,118.14,0.6643,1.0516,8.2777
1999-06-14,120.4,0.663,1.0416,8.2776
1999-06-15,120.63,0.658,1.042,8.2781
1999-06-16,120.03,0.6565,1.0298,8.2776
1999-06-17,119.47,0.6575,1.0329,8.2775
1999-06-18,120.48,0.6533,1.0368,8.2774
1999-06-21,122.28,0.6508,1.0323,8.2778
1999-06-22,121.68,0.6535,1.0323,8.2781
1999-06-23,122.05,0.6568,1.0316,8.2784
1999-06-24,121.83,0.6582,1.0372,8.2779
1999-06-25,121.28,0.6618,1.0448,8.2775
1999-06-28,121.3,0.658,1.0373,8.278
1999-06-29,120.81,0.658,1.0337,8.2786
1999-06-30,120.94,0.6611,1.031,8.2787
1999-07-01,120.99,0.6665,1.0236,8.2786
1999-07-02,121.13,0.6703,1.0244,8.2785
1999-07-05,,,,
1999-07-06,121.94,0.6657,1.0249,8.2782
1999-07-07,122.19,0.664,1.0224,8.2783
1999-07-08,122.57,0.6655,1.0198,8.2781
1999-07-09,122.37,0.6645,1.0186,8.2777
1999-07-12,122.22,0.662,1.0139,8.2776
1999-07-13,121.38,0.6593,1.0176,8.2775
1999-07-14,120.58,0.6592,1.0215,8.2778
1999-07-15,120.49,0.6626,1.022,8.2775
1999-07-16,120.98,0.6602,1.0203,8.2773
1999-07-19,119.18,0.6515,1.0203,8.2773
1999-07-20,118.94,0.6483,1.042,8.2777
1999-07-21,118.25,0.6475,1.0526,8.2773
1999-07-22,117.27,0.6466,1.0509,8.2773
1999-07-23,116.51,0.648,1.0497,8.2772
1999-07-26,116.66,0.6473,1.0651,8.277
1999-07-27,116.23,0.6443,1.0627,8.277
1999-07-28,116.17,0.6442,1.0644,8.277
1999-07-29,115.19,0.6495,1.0719,8.2773
1999-07-30,114.7,0.6522,1.0694,8.2774
1999-08-02,114.51,0.65,1.0661,8.277
1999-08-03,115.1,0.6535,1.068,8.2773
1999-08-04,114.2,0.6585,1.0766,8.2774
1999-08-05,113.98,0.6545,1.0793,8.2774
1999-08-06,114.6,0.6531,1.077,8.2773
1999-08-09,115.37,0.65,1.0694,8.2774
1999-08-10,114.44,0.6512,1.0752,8.2772
1999-08-11,115.1,0.6485,1.066,8.2772
1999-08-12,115.76,0.6495,1.0636,8.2771
1999-08-13,115.66,0.6517,1.0568,8.277
1999-08-16,114.83,0.6497,1.0557,8.2774
1999-08-17,114.18,0.6485,1.0525,8.277
1999-08-18,112.3,0.6468,1.0505,8.2772
1999-08-19,111.14,0.6365,1.0643,8.2774
1999-08-20,111.44,0.6393,1.0654,8.2774
1999-08-23,111.73,0.6359,1.0553,8.2772
1999-08-24,111.53,0.637,1.0506,8.2775
1999-08-25,111.18,0.6334,1.0461,8.2773
1999-08-26,111.83,0.63,1.0441,8.2773
1999-08-27,111.68,0.632,1.046,8.2773
1999-08-30,111.13,0.6326,1.0445,8.2771
1999-08-31,109.3,0.638,1.0581,8.277
1999-09-01,109.35,0.639,1.0582,8.2771
1999-09-02,109.24,0.6447,1.0689,8.2773
1999-09-03,110.09,0.6467,1.0605,8.2775
1999-09-06,,,,
1999-09-07,110.92,0.6465,1.0581,8.2776
1999-09-08,110.99,0.6486,1.059,8.2776
1999-09-09,108.0,0.652,1.0543,8.2774
1999-09-10,109.0,0.652,1.0402,8.2774
1999-09-13,106.19,0.6573,1.04,8.2772
1999-09-14,105.33,0.6545,1.0408,8.2775
1999-09-15,103.78,0.6487,1.0385,8.2773
1999-09-16,105.1,0.6462,1.0418,8.2771
1999-09-17,106.94,0.6481,1.0399,8.2773
1999-09-20,106.42,0.6414,1.0408,8.2775
1999-09-21,104.85,0.647,1.046,8.2775
1999-09-22,104.03,0.6513,1.05,8.2777
1999-09-23,104.18,0.6482,1.0415,8.2776
1999-09-24,104.14,0.6525,1.0466,8.2775
1999-09-27,106.07,0.6525,1.0431,8.2775
1999-09-28,106.14,0.6555,1.0509,8.2775
1999-09-29,106.8,0.653,1.0613,8.2775
1999-09-30,106.82,0.6528,1.0643,8.2778
1999-10-01,105.08,0.654,1.0718,8.2778
1999-10-04,106.35,0.6607,1.0703,8.2778
1999-10-05,106.96,0.6633,1.0693,8.277
1999-10-06,107.54,0.6605,1.0704,8.2778
1999-10-07,107.67,0.6602,1.0721,8.2778
1999-10-08,107.38,0.654,1.063,8.278
1999-10-11,,,,
1999-10-12,106.28,0.6555,1.0737,8.2772
1999-10-13,107.45,0.649,1.0758,8.2777
1999-10-14,106.96,0.65,1.0799,8.2774
1999-10-15,105.43,0.6475,1.0887,8.2775
1999-10-18,104.93,0.644,1.0863,8.2774
1999-10-19,105.5,0.6486,1.0833,8.2773
1999-10-20,106.16,0.6463,1.0765,8.2774
1999-10-21,105.96,0.647,1.0808,8.2772
1999-10-22,105.81,0.6503,1.0678,8.2773
1999-10-25,105.35,0.6508,1.0666,8.277
1999-10-26,104.83,0.6503,1.0578,8.2773
1999-10-27,104.24,0.6436,1.0532,8.2775
1999-10-28,105.13,0.6457,1.0519,8.2776
1999-10-29,104.29,0.6376,1.0518,8.2778
1999-11-01,104.19,0.6382,1.0494,8.2779
1999-11-02,104.15,0.6405,1.0506,8.2781
1999-11-03,105.0,0.6437,1.0485,8.2781
1999-11-04,104.48,0.6383,1.044,8.278
1999-11-05,106.33,0.6385,1.04,8.2779
1999-11-08,105.77,0.6365,1.0363,8.2779
1999-11-09,104.86,0.6375,1.0401,8.278
1999-11-10,104.58,0.6402,1.0436,8.2781
1999-11-11,,,,
1999-11-12,105.34,0.6431,1.0315,8.278
1999-11-15,104.88,0.6467,1.0315,8.2781
1999-11-16,105.83,0.6417,1.0312,8.2781
1999-11-17,105.47,0.6394,1.0403,8.2781
1999-11-18,105.85,0.6395,1.0297,8.2784
1999-11-19,106.13,0.639,1.0313,8.2785
1999-11-22,104.87,0.6376,1.0327,8.2785
1999-11-23,104.2,0.6356,1.0261,8.2784
1999-11-24,104.62,0.6323,1.0176,8.2785
1999-11-25,,,,
1999-11-26,102.19,0.6345,1.0137,8.2785
1999-11-29,102.43,0.6368,1.01,8.2785
1999-11-30,101.8,0.6371,1.0077,8.2789
1999-12-01,102.37,0.6354,1.0059,8.2789
1999-12-02,102.69,0.633,1.0023,8.2788
1999-12-03,102.55,0.6332,1.0016,8.2787
1999-12-06,103.1,0.6348,1.0252,8.279
1999-12-07,102.39,0.6362,1.0222,8.279
1999-12-08,102.97,0.638,1.0263,8.2795
1999-12-09,102.57,0.6396,1.0161,8.2795
1999-12-10,102.4,0.6365,1.0158,8.2795
1999-12-13,103.26,0.633,1.012,8.2795
1999-12-14,103.47,0.6352,1.0067,8.2794
1999-12-15,103.54,0.6357,1.0066,8.2794
1999-12-16,103.04,0.6425,1.0169,8.2794
1999-12-17,103.27,0.6426,1.0088,8.2794
1999-12-20,102.72,0.6416,1.0066,8.2794
1999-12-21,102.06,0.6433,1.0093,8.2796
1999-12-22,101.53,0.6436,1.008,8.2796
1999-12-23,101.73,0.6453,1.0162,8.2795
1999-12-24,102.95,0.6427,1.0128,8.2794
1999-12-27,102.1,0.6448,1.0136,8.2796
1999-12-28,102.19,0.645,1.0068,8.2797
1999-12-29,102.05,0.6503,1.0045,8.2793
1999-12-30,102.33,0.6539,1.0024,8.2795
1999-12-31,102.16,0.656,1.007,8.2795
2000-01-03,101.7,0.6591,1.0155,8.2798
2000-01-04,103.09,0.6562,1.0309,8.2799
2000-01-05,103.77,0.655,1.0335,8.2798
2000-01-06,105.19,0.654,1.0324,8.2797
2000-01-07,105.17,0.6548,1.0294,8.2794
2000-01-10,105.28,0.6561,1.0252,8.2794
2000-01-11,106.09,0.6575,1.0322,8.2795
2000-01-12,105.76,0.6578,1.0281,8.2796
2000-01-13,106.09,0.6687,1.027,8.2798
2000-01-14,105.86,0.6665,1.0128,8.2797
2000-01-17,,,,
2000-01-18,105.49,0.664,1.0121,8.2793
2000-01-19,105.39,0.6634,1.0115,8.2797
2000-01-20,105.45,0.6666,1.0133,8.2794
2000-01-21,104.96,0.6621,1.01,8.2795
2000-01-24,105.52,0.6544,1.0019,8.2789
2000-01-25,105.87,0.6542,1.0041,8.2786
2000-01-26,105.85,0.6505,1.0011,8.2782
2000-01-27,104.91,0.655,0.989,8.2783
2000-01-28,107.15,0.6265,0.9765,8.2781
2000-01-31,107.33,0.6382,0.9757,8.2777
2000-02-01,107.67,0.6315,0.9731,8.2774
2000-02-02,108.4,0.636,0.9768,8.2773
2000-02-03,107.92,0.6387,0.9887,8.2781
2000-02-04,107.54,0.6315,0.976,8.2788
2000-02-07,108.75,0.6339,0.9783,8.2788
2000-02-08,109.59,0.6353,0.9862,8.2788
2000-02-09,109.11,0.6345,0.9914,8.2788
2000-02-10,108.74,0.632,0.9865,8.2788
2000-02-11,108.99,0.6282,0.9847,8.2788
2000-02-14,108.65,0.6279,0.9783,8.2779
2000-02-15,108.75,0.63,0.9834,8.2777
2000-02-16,109.38,0.6301,0.9842,8.2777
2000-02-17,110.27,0.632,0.9863,8.2772
2000-02-18,110.88,0.6292,0.985,8.2772
2000-02-21,,,,
2000-02-22,111.04,0.6257,1.006,8.2773
2000-02-23,111.11,0.6196,1.0017,8.278
2000-02-24,110.95,0.6144,0.9931,8.278
2000-02-25,110.98,0.6175,0.9763,8.2786
2000-02-28,109.17,0.6116,0.9669,8.2786
2000-02-29,109.88,0.6155,0.9643,8.2786
2000-03-01,107.1,0.6067,0.97,8.2786
2000-03-02,107.37,0.6077,0.9619,8.2787
2000-03-03,107.8,0.6082,0.9618,8.2789
2000-03-06,107.74,0.6016,0.9603,8.2785
2000-03-07,106.2,0.6035,0.956,8.2784
2000-03-08,106.89,0.6094,0.9576,8.2786
2000-03-09,106.45,0.6155,0.9684,8.2787
2000-03-10,106.27,0.6136,0.9659,8.2785
2000-03-13,105.32,0.6165,0.9648,8.2781
2000-03-14,104.85,0.614,0.9644,8.278
2000-03-15,105.58,0.6125,0.9696,8.2778
2000-03-16,105.63,0.6107,0.971,8.2777
2000-03-17,106.1,0.6067,0.9694,8.2785
2000-03-20,106.5,0.6065,0.971,8.2786
2000-03-21,106.91,0.61,0.9703,8.2783
2000-03-22,106.77,0.6056,0.9608,8.2783
2000-03-23,107.45,0.6041,0.9691,8.2787
2000-03-24,107.25,0.6064,0.9724,8.2789
2000-03-27,107.13,0.6114,0.9645,8.2792
2000-03-28,105.9,0.6141,0.9614,8.2795
2000-03-29,105.6,0.6124,0.9524,8.2789
2000-03-30,105.53,0.6125,0.9594,8.2788
2000-03-31,102.73,0.6062,0.9574,8.2787
2000-04-03,104.82,0.6073,0.956,8.2786
2000-04-04,105.33,0.6032,0.9588,8.2791
2000-04-05,105.0,0.6053,0.9647,8.2795
2000-04-06,104.78,0.6016,0.958,8.2795
2000-04-07,105.33,0.6003,0.959,8.2795
2000-04-10,106.37,0.5991,0.9588,8.2798
2000-04-11,106.95,0.5957,0.9591,8.2791
2000-04-12,105.86,0.597,0.9551,8.2796
2000-04-13,105.76,0.5963,0.9524,8.2794
2000-04-14,105.12,0.5972,0.9564,8.2794
2000-04-17,104.19,0.5913,0.955,8.2794
2000-04-18,104.59,0.5946,0.9477,8.279
2000-04-19,104.94,0.5957,0.9369,8.2793
2000-04-20,105.45,0.5931,0.9376,8.2791
2000-04-21,105.88,0.5925,0.9379,8.2785
2000-04-24,105.66,0.5945,0.9396,8.2786
2000-04-25,105.71,0.5956,0.9265,8.2791
2000-04-26,106.46,0.589,0.9217,8.2795
2000-04-27,106.36,0.5875,0.9083,8.2798
2000-04-28,107.98,0.5837,0.9089,8.2799
2000-05-01,108.89,0.58,0.912,8.2799
2000-05-02,108.63,0.5857,0.9068,8.2799
2000-05-03,109.14,0.59,0.8891,8.2799
2000-05-04,108.17,0.5914,0.8907,8.2799
2000-05-05,108.53,0.5935,0.8953,8.2799
2000-05-08,109.03,0.587,0.895,8.2798
2000-05-09,109.61,0.5828,0.9023,8.279
2000-05-10,109.33,0.5815,0.9097,8.2785
2000-05-11,108.47,0.579,0.9021,8.2782
2000-05-12,108.74,0.581,0.908,8.2778
2000-05-15,109.48,0.5739,0.9138,8.2777
2000-05-16,109.75,0.5773,0.9053,8.2772
2000-05-17,109.53,0.5685,0.8921,8.2768
2000-05-18,108.7,0.5703,0.8952,8.2773
2000-05-19,106.89,0.5728,0.8946,8.2768
2000-05-22,107.02,0.574,0.9036,8.277
2000-05-23,106.72,0.5747,0.9032,8.2768
2000-05-24,107.58,0.5713,0.9096,8.2769
2000-05-25,107.48,0.57,0.9072,8.2773
2000-05-26,107.18,0.5716,0.931,8.2771
2000-05-29,,,,
2000-05-30,106.44,0.5768,0.9314,8.2772
2000-05-31,107.74,0.5708,0.9328,8.2773
2000-06-01,108.74,0.5721,0.9307,8.2771
2000-06-02,108.15,0.579,0.9432,8.2771
2000-06-05,107.44,0.5812,0.9471,8.277
2000-06-06,105.64,0.5887,0.957,8.2773
2000-06-07,105.5,0.59,0.96,8.2773
2000-06-08,105.86,0.5878,0.9548,8.2775
2000-06-09,106.78,0.5864,0.9526,8.2772
2000-06-12,106.65,0.5912,0.9544,8.2771
2000-06-13,106.79,0.5973,0.9619,8.277
2000-06-14,106.89,0.6007,0.959,8.2768
2000-06-15,106.52,0.6015,0.953,8.2768
2000-06-16,106.22,0.6083,0.9648,8.2768
2000-06-19,105.74,0.6024,0.9622,8.2768
2000-06-20,105.42,0.6037,0.9557,8.2772
2000-06-21,105.5,0.6026,0.9455,8.2772
2000-06-22,104.4,0.5993,0.9398,8.2771
2000-06-23,104.59,0.5964,0.9358,8.2769
2000-06-26,105.66,0.5965,0.9382,8.2773
2000-06-27,105.53,0.6012,0.9444,8.2774
2000-06-28,105.51,0.6023,0.9444,8.2775
2000-06-29,105.09,0.6029,0.9515,8.278
2000-06-30,106.14,0.5971,0.9545,8.2782
2000-07-03,105.64,0.5996,0.9526,8.2786
2000-07-04,,,,
2000-07-05,106.91,0.5907,0.9548,8.2787
2000-07-06,107.37,0.5909,0.9527,8.2791
2000-07-07,107.81,0.5901,0.9484,8.2793
2000-07-10,107.1,0.5912,0.9521,8.2795
2000-07-11,106.93,0.5891,0.9497,8.2794
2000-07-12,108.36,0.589,0.9401,8.2795
2000-07-13,108.27,0.5855,0.9339,8.2791
2000-07-14,107.88,0.5847,0.9374,8.2796
2000-07-17,108.53,0.5855,0.9351,8.2791
2000-07-18,108.3,0.5844,0.9322,8.2796
2000-07-19,108.2,0.575,0.9237,8.2796
2000-07-20,107.89,0.5816,0.9292,8.2796
2000-07-21,109.08,0.5865,0.9343,8.2795
2000-07-24,108.92,0.586,0.9314,8.2798
2000-07-25,109.3,0.5849,0.9391,8.2797
2000-07-26,109.28,0.5904,0.9413,8.2796
2000-07-27,109.15,0.5891,0.9331,8.2793
2000-07-28,109.63,0.5872,0.9246,8.2794
2000-07-31,109.68,0.5787,0.9266,8.2792
2000-08-01,109.47,0.5805,0.9228,8.2788
2000-08-02,108.77,0.583,0.9137,8.2791
2000-08-03,108.36,0.5844,0.9042,8.2796
2000-08-04,108.54,0.5832,0.9075,8.2798
2000-08-07,108.99,0.5862,0.9105,8.2799
2000-08-08,108.64,0.5868,0.9019,8.2799
2000-08-09,107.99,0.5786,0.8991,8.2798
2000-08-10,108.7,0.5818,0.9077,8.2799
2000-08-11,108.68,0.5795,0.9046,8.2796
2000-08-14,109.52,0.581,0.9037,8.2795
2000-08-15,109.0,0.5831,0.9135,8.2788
2000-08-16,108.55,0.5897,0.9143,8.2797
2000-08-17,108.48,0.5935,0.9152,8.2799
2000-08-18,108.43,0.5905,0.9068,8.2797
2000-08-21,108.53,0.589,0.9027,8.2799
2000-08-22,108.34,0.5802,0.8965,8.2799
2000-08-23,107.02,0.5708,0.8967,8.2793
2000-08-24,106.89,0.5725,0.9028,8.2799
2000-08-25,107.17,0.5737,0.9024,8.2799
2000-08-28,106.45,0.5715,0.9002,8.2799
2000-08-29,106.2,0.5713,0.8966,8.2799
2000-08-30,106.47,0.572,0.8924,8.2788
2000-08-31,106.66,0.5764,0.8878,8.2786
2000-09-01,105.78,0.5765,0.8993,8.2787
2000-09-04,,,,
2000-09-05,105.88,0.5699,0.8876,8.279
2000-09-06,106.08,0.5655,0.8702,8.2794
2000-09-07,105.1,0.5579,0.874,8.279
2000-09-08,106.03,0.5557,0.8664,8.2794
2000-09-11,105.97,0.559,0.8624,8.2786
2000-09-12,106.93,0.5586,0.8596,8.2787
2000-09-13,107.11,0.555,0.864,8.277
2000-09-14,107.25,0.549,0.8617,8.2773
2000-09-15,107.33,0.545,0.8572,8.2771
2000-09-18,106.87,0.5417,0.8523,8.2772
2000-09-19,107.02,0.542,0.8514,8.2779
2000-09-20,106.77,0.5372,0.8462,8.2775
2000-09-21,106.5,0.5428,0.8558,8.2778
2000-09-22,107.94,0.5455,0.8793,8.2787
2000-09-25,107.63,0.549,0.8738,8.2793
2000-09-26,107.63,0.5506,0.8815,8.2791
2000-09-27,107.44,0.551,0.8805,8.2795
2000-09-28,107.59,0.549,0.8826,8.2799
2000-09-29,107.9,0.5415,0.8837,8.2798
2000-10-02,108.81,0.545,0.8806,8.279
2000-10-03,108.66,0.54,0.8741,8.279
2000-10-04,109.29,0.5365,0.8726,8.279
2000-10-05,109.3,0.535,0.8685,8.279
2000-10-06,108.81,0.5339,0.868,8.279
2000-10-09,,,,
2000-10-10,107.9,0.5339,0.8682,8.2789
2000-10-11,107.63,0.536,0.8715,8.2786
2000-10-12,107.58,0.532,0.8644,8.2786
2000-10-13,107.67,0.5297,0.8568,8.2784
2000-10-16,108.3,0.523,0.8489,8.2781
2000-10-17,108.15,0.5188,0.8507,8.2784
2000-10-18,107.78,0.5187,0.8391,8.2781
2000-10-19,108.55,0.521,0.8406,8.278
2000-10-20,109.04,0.528,0.84,8.2778
2000-10-23,108.45,0.5274,0.8364,8.2784
2000-10-24,108.08,0.5256,0.8364,8.2784
2000-10-25,108.05,0.5191,0.827,8.2782
2000-10-26,108.36,0.5185,0.8271,8.2785
2000-10-27,108.75,0.5233,0.8406,8.2788
2000-10-30,108.99,0.5235,0.8432,8.278
2000-10-31,109.15,0.5181,0.8486,8.2775
2000-11-01,108.48,0.5227,0.8584,8.2773
2000-11-02,108.39,0.5208,0.8594,8.277
2000-11-03,107.58,0.5249,0.8614,8.2768
2000-11-06,107.34,0.528,0.8584,8.2771
2000-11-07,107.3,0.528,0.8583,8.2769
2000-11-08,107.57,0.5264,0.8559,8.2772
2000-11-09,107.41,0.5252,0.8574,8.2768
2000-11-10,107.83,0.522,0.8625,8.2772
2000-11-13,107.7,0.5205,0.8607,8.2768
2000-11-14,108.15,0.519,0.8573,8.2773
2000-11-15,108.75,0.5203,0.857,8.2768
2000-11-16,109.08,0.5183,0.8532,8.2773
2000-11-17,108.86,0.519,0.8516,8.2769
2000-11-20,109.79,0.5134,0.8486,8.2779
2000-11-21,110.29,0.5112,0.8458,8.2786
2000-11-22,110.16,0.5194,0.8423,8.2782
2000-11-23,,,,
2000-11-24,111.38,0.5215,0.8382,8.2779
2000-11-27,110.7,0.5261,0.85,8.278
2000-11-28,110.23,0.5223,0.8547,8.2777
2000-11-29,111.28,0.5228,0.8577,8.2774
2000-11-30,110.93,0.5262,0.8694,8.2777
2000-12-01,111.15,0.5372,0.8765,8.2775
2000-12-04,111.07,0.5431,0.8875,8.2771
2000-12-05,111.0,0.5405,0.8804,8.277
2000-12-06,110.42,0.5448,0.8877,8.277
2000-12-07,110.7,0.547,0.8891,8.277
2000-12-08,111.29,0.5445,0.8838,8.2769
2000-12-11,110.77,0.54,0.8771,8.2773
2000-12-12,111.5,0.542,0.8775,8.2771
2000-12-13,112.4,0.538,0.8755,8.277
2000-12-14,112.42,0.5397,0.8858,8.2768
2000-12-15,112.55,0.5458,0.8981,8.2768
2000-12-18,112.06,0.5416,0.8929,8.2774
2000-12-19,112.55,0.5435,0.8902,8.2772
2000-12-20,112.58,0.5491,0.9058,8.2769
2000-12-21,112.18,0.5533,0.9112,8.2768
2000-12-22,112.75,0.555,0.923,8.2777
2000-12-25,,,,
2000-12-26,113.62,0.5588,0.9292,8.2769
2000-12-27,114.2,0.559,0.9304,8.277
2000-12-28,114.62,0.5522,0.9257,8.2781
2000-12-29,114.35,0.556,0.9388,8.2774
2001-01-01,,,,
2001-01-02,114.73,0.5592,0.9465,8.2779
2001-01-03,114.26,0.5635,0.9473,8.2773
2001-01-04,115.47,0.5655,0.9448,8.2781
2001-01-05,116.19,0.5712,0.9535,8.2775
2001-01-08,115.97,0.566,0.9486,8.2778
2001-01-09,116.64,0.5628,0.9397,8.2771
2001-01-10,116.26,0.5572,0.9387,8.2769
2001-01-11,117.56,0.5595,0.952,8.2767
2001-01-12,117.76,0.5557,0.9486,8.2768
2001-01-15,,,,
2001-01-16,117.28,0.5549,0.9374,8.2766
2001-01-17,118.35,0.5514,0.9306,8.2764
2001-01-18,117.78,0.5562,0.9446,8.2764
2001-01-19,117.23,0.557,0.9363,8.2764
2001-01-22,116.62,0.5544,0.9374,8.2782
2001-01-23,116.95,0.5528,0.9389,8.2786
2001-01-24,118.18,0.5449,0.9258,8.2786
2001-01-25,116.91,0.5451,0.9219,8.2786
2001-01-26,117.16,0.5432,0.9213,8.2786
2001-01-29,116.67,0.5432,0.9181,8.2786
2001-01-30,115.75,0.5474,0.9264,8.2786
2001-01-31,116.39,0.548,0.9308,8.2781
2001-02-01,115.33,0.554,0.9384,8.2772
2001-02-02,115.65,0.5521,0.9357,8.2774
2001-02-05,114.99,0.5508,0.9395,8.277
2001-02-06,114.88,0.549,0.9304,8.2766
2001-02-07,116.21,0.5462,0.9331,8.2765
2001-02-08,116.3,0.5361,0.9184,8.2763
2001-02-09,117.57,0.5367,0.9267,8.2764
2001-02-12,117.62,0.5381,0.9287,8.2774
2001-02-13,117.3,0.5337,0.9204,8.2765
2001-02-14,116.65,0.5282,0.9197,8.2764
2001-02-15,115.67,0.524,0.9057,8.2772
2001-02-16,115.46,0.5305,0.9162,8.277
2001-02-19,,,,
