,DEXJPUS_return,DEXUSAL_return,DEXUSEU_return,DEXCHUS_return,DEXUSUK_return,DEXCAUS_return,DEXMXUS_return,DEXSZUS_return,DTWEXBGS_return
1999-01-01,,,,,,,,,
1999-01-04,,,,,,,,,
1999-01-05,-0.008916629514043706,0.005661598188288597,-0.004402302742973374,2.415663159949233e-05,-0.0009046499004884412,-0.0036023054755042194,-0.003560166819245314,0.0020488804331917354,
1999-01-06,0.014664867296446227,0.010937751327006362,-0.010544217687074808,0.0,-0.0011469274417481579,-0.006770525208703249,-0.0016333197223356022,0.011537899810135865,
1999-01-07,-0.009664834190459382,0.008750994431185433,0.003093846682708845,3.623407210562313e-05,-0.0031425636066961804,0.00046326935804108516,0.005112474437627856,0.0007941091539127587,
1999-01-08,-0.0015220700152207556,-0.002208201892744399,-0.010109664153529874,-2.4155172830164773e-05,-0.0054561988481357515,0.0018522193556922417,-0.00198372329603258,0.007718387073504918,
1999-01-11,-0.02412123385939735,0.010907366424280696,-0.001731002250302982,1.2077878158267552e-05,-0.0018287107589149976,-0.004820072631231298,0.01483104836654614,-0.0005010737294200984,
1999-01-12,0.02977120279334744,0.0009382329945271106,0.00121380267036586,-2.4155464569908247e-05,-0.004091603053435033,0.0015260084925690087,0.0144636400160707,-0.00522810284322861,
1999-01-13,0.01240296243419281,-0.014216528667395756,0.012989262209906371,-1.2078024035244717e-05,0.011344125582536169,0.013580655846306744,0.04950495049504955,-0.021958243340532757,
1999-01-14,-0.0018508725542040194,0.0007923930269413404,-0.0007693622841510317,-4.8312679662876334e-05,0.002243375977687423,-0.0009803921568627416,-0.006603773584905714,0.0024291497975708065,
1999-01-15,0.008300220750551812,0.003958828186856778,-0.008383950722901878,0.0,-0.001814882032667997,0.0003271180896302628,-0.02279202279202286,0.01226318108385982,
1999-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1999-01-19,-0.0037656537350030383,0.007097791798107211,0.001639202829781805,-3.623626041782124e-05,0.003030303030303161,0.0007848266841072871,-0.0019436345966957758,-0.0023939064200217963,
1999-01-20,-0.0027250351617440494,0.0020360219263901858,-0.003014642549526325,4.831676470939961e-05,-0.005015105740181269,-0.004966671023395652,-0.007302823758519872,0.010907504363001808,
1999-01-21,0.002644336712207984,-0.00031259768677727173,0.00017278617710592137,-2.4157215156139777e-05,0.0029756482662293138,-0.004663076316826387,0.009318293281020074,-0.0033808085167602586,
1999-01-22,0.007912087912087973,-0.007504690431519578,0.00043189081800121265,-2.4157798741319958e-05,0.0026640833131508224,0.002309468822170757,-0.00850340136054406,-0.0018765788523997795,
1999-01-25,-0.0074138682948103884,-0.0061436672967863926,-0.0013814539803140846,-3.623757353221624e-05,0.00018115942029006682,-0.0024358130348912654,0.0026954177897573484,-0.00043387085110990764,
1999-01-26,0.002021089630931394,-0.0006340148993502215,0.0009510634618707936,-4.831851565512135e-05,0.0013282617883234593,0.0031016960337886257,-0.0009775171065493637,0.0034001302177528725,
