,AUD/CAD,AUD/CHF,AUD/CNY,AUD/EUR,AUD/GBP,AUD/JPY,AUD/MXN,CAD/CHF,CAD/CNY,CAD/EUR,CAD/GBP,CAD/JPY,CAD/MXN,CHF/CNY,CHF/EUR,CHF/GBP,CHF/JPY,CHF/MXN,CNY/EUR,CNY/GBP,CNY/JPY,CNY/MXN,EUR/GBP,EUR/JPY,EUR/MXN,GBP/JPY,GBP/MXN,JPY/MXN
1999-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-04,0.4048991354466859,0.45236352992828915,0.07466814827340476,0.5233660684050118,0.3728363789879983,0.005512260365581809,0.06288271793306886,1.1172252304990486,0.1844117256289783,1.2925838130714526,0.9208129787105723,0.013613909942041907,0.1553046485606754,0.1650622637179472,1.1569590247206232,0.8241963693383995,0.012185465893892109,0.13900925643373005,7.009227903826616,4.993245280743019,0.07382345073562192,0.8421625470450615,0.7123816416380194,0.010532322781988408,0.1201505441969281,0.014784663397235843,0.168660360085444,11.40779167938155
1999-01-05,0.4086636429369618,0.453994450124142,0.0750890754272601,0.5286564625850341,0.37528673186043704,0.005593342330184436,0.0634646794610045,1.1109244924784578,0.1837429796485295,1.293622448979592,0.9183266932270917,0.013686909581646424,0.15529808084932628,0.16539646113895765,1.1644557823129251,0.8266328624894361,0.012320287899235267,0.1397917517354022,7.040391156462586,4.997887238923096,0.07448942869995502,0.8451919150673746,0.709887721839913,0.01058029689608637,0.12004899959167006,0.014904183535762483,0.1691098407513271,11.34646794610045
1999-01-06,0.4159497021839841,0.4537250938492636,0.0759103810616583,0.540134066689584,0.37982715900163166,0.005572796595140982,0.0642638036809816,1.0908172105111176,0.1824989431728969,1.2985562048814026,0.9131564634072641,0.013397765561269728,0.15449897750511246,0.16730478893652997,1.190443451357855,0.8371305976914244,0.01228231956020571,0.1416359918200409,7.1154176693021665,5.003626034930804,0.0734128391558787,0.8465746421267895,0.7032090409137608,0.01031743216882426,0.11897750511247444,0.014671927646745877,0.16919222903885484,11.531697341513294
1999-01-07,0.41939538268174903,0.4573324677198297,0.07657189787192928,0.5431802604523647,0.38435889663534406,0.005676425821470141,0.06449643947100712,1.0904566111231335,0.18257687383753232,1.2951507882111035,0.9164595331918763,0.013534783776524308,0.15378433367243133,0.1674315804729583,1.187714187799863,0.840436495907851,0.012412033306473275,0.14102746693794507,7.093728581220013,5.019581691421643,0.07413197242367267,0.8422990844354018,0.7076083661715672,0.010450353657444714,0.11873855544252289,0.014768555824156147,0.1678026449643947,11.362156663275686
1999-01-08,0.41769560911191816,0.4528274874731568,0.07640465722981787,0.5475160117708153,0.38561414202986893,0.005672525107604018,0.06448193262320984,1.0841088045812455,0.18291946470844,1.3108014540418902,0.9231941481255714,0.013580523672883787,0.1543754140971408,0.16872795787236097,1.2091050718365934,0.851569643401402,0.012526901004304161,0.14239845063962084,7.166003115804051,5.046997866504115,0.07424318507890962,0.8439529075990012,0.7042974702834501,0.010360473457675753,0.11777177513888182,0.014710365853658538,0.16721879618775803,11.367412466235157
1999-01-11,0.4242967091295116,0.4579961326362529,0.07723709796248655,0.5544477197849835,0.39053435114503815,0.005876137094551134,0.0642326235435918,1.079424192508773,0.18203558099931158,1.3067452748396047,0.9204274809160307,0.013849122484609025,0.15138609883487347,0.1686413758952619,1.2105947633084795,0.8527022900763359,0.012830101993935496,0.1402470871836079,7.178515692734524,5.0563053435114504,0.07607920610125884,0.8316291683406991,0.7043664122137404,0.010598180648718184,0.11584973885094416,0.015046402646329136,0.16447368421052633,10.931096826034553
1999-01-12,0.4240476979132163,0.4608351331893448,0.07731143184974938,0.5542951160374091,0.3925067451557518,0.0057116088159186226,0.06337623762376238,1.0867530597552195,0.18231777281236788,1.3071527537235885,0.9256193279372088,0.013469260283751228,0.14945544554455448,0.16776375384987016,1.2028056806373397,0.8517292126563649,0.012394039439635943,0.13752475247524754,7.169639764461379,5.076956095168016,0.07387793343446061,0.8197524752475248,0.7081187147412313,0.01030427411439279,0.11433663366336634,0.014551619523512091,0.16146534653465347,11.096039603960396
1999-01-13,0.41241830065359475,0.4644828855355171,0.07621325216803149,0.539408445888186,0.3825865518704905,0.0055614313414419185,0.05952830188679246,1.1262421788737578,0.18479599971012392,1.3079158830569328,0.9276662826653732,0.013484928609201481,0.14433962264150943,0.16408193830470805,1.1613096255770219,0.8236827745103984,0.01197338268993478,0.12816037735849056,7.077620106001027,5.019947856666465,0.07297197250132206,0.7810754716981133,0.7092705996483356,0.01031024149479993,0.11035849056603773,0.014536400493566016,0.15559433962264152,10.70377358490566
1999-01-14,0.4131501472031403,0.4637244823028345,0.07627732817973185,0.540251518521687,0.38203266787658796,0.005576158940397351,0.05997150997150997,1.122411514172419,0.18462374682932722,1.3076396612199503,0.9246823956442831,0.013496688741721854,0.14515669515669516,0.1644884647904336,1.1650269484130378,0.8238354506957047,0.012024724061810153,0.12932573599240266,7.08272735050047,5.0084694494857835,0.0731037527593819,0.786229819563153,0.7071385359951603,0.010321412803532009,0.11100664767331435,0.014596026490066225,0.156980056980057,10.754985754985755
